"target_id","pAc","smiles"
"O00329",4.43,"CC(C)N1C2=C(C(=N1)C3=C(C(=CC=C3)OC)OC)C(=NC=N2)N"
"O00329",4.46,"CC1=CC2=C(C=C1)OCCN3C2=NC4=C3C=CC(=C4)[N+](=O)[O-]"
"O00329",4.5,"CC(=O)NC1=NN2C=C(C=CC2=N1)C3=CC=C(C=C3)OC"
"O00329",4.5,"C1=CC2=C(C=C1C3=CNC(=O)C=C3)SC(=N2)N"
"O00329",4.5,"CC(=O)NC1=NN2C=C(C=CC2=N1)C3=CC=CC=C3OC"
"O00329",4.5,"C1COCCN1C2=NC3=C(S2)C(=O)CC(C3)C4=CC=CC=C4"
"O00329",4.52,"CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C"
"O00329",4.54,"CC1=CC=CC=C1C2=C3C(=NC=NC3=NN2)N"
"O00329",4.55,"C1=CC=C(C=C1)CN2C3=C(C(=N2)C4=CC5=CC=CC=C5C=C4)C(=NC=N3)N"
"O00329",4.58,"CCCC1CC2=C(C(=O)C1)SC(=N2)N3CCOCC3"
"O00329",4.58,"C1COCCN1C2=NC(=NC3=C2N=CC=C3)C4=CC5=C(C=C4)C=NN5"
"O00329",4.6,"CN1C(=CC=N1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",4.64,"C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=C4C(=NC=NC4=NN3)N"
"O00329",4.66,"C1COCCN1C2=CC(=C(C=C2)C(=O)C3=CC=CC=C3)O"
"O00329",4.68,"C1=CC=C(C=C1)CCN2C3=C(C(=N2)C4=CC5=CC=CC=C5C=C4)C(=NC=N3)N"
"O00329",4.7,"C1=CC=C(C=C1)CN2C=C(C=N2)C3=CC4=C(C=C3)N=C(S4)N"
"O00329",4.7,"CCN1C=C(C=N1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",4.7,"CCN1C2=C(C3CCCN3C1=S)C(=NC(=N2)C4=CC=C(C=C4)OC)N5CCOCC5"
"O00329",4.7,"C1=CC(=C(C=C1F)O)C2=CC=C(O2)/C=C\3/C(=O)NC(=O)S3"
"O00329",4.7,"C1CC1CN2C=C(C=N2)C3=CC4=C(C=C3)N=C(S4)N"
"O00329",4.7,"CC(C)N1C=C(C=N1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",4.72,"CC1(CC2=C(C(=O)C1)SC(=N2)C3=CC=NC=C3)C"
"O00329",4.74,"CC1=C(SC(=N1)N2CCOCC2)C(=O)O"
"O00329",4.74,"CC(C)(C)C1=CC=C(C=C1)C2=C3C(=NC=NC3=NN2)N"
"O00329",4.8,"CC(C)(C#N)C1=CC=C(C=C1)N2C3=C(C=NC4=CC=CC=C43)N(C2=O)C"
"O00329",4.82,"CC1=C2C(=CC=C1)N(CCO2)C3=NC4=C(S3)C(=O)NC(C4)(C)C"
"O00329",4.82,"C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)C4=C5C(=NC=NC5=NN4)N"
"O00329",4.83,"C1COCCN1C2=CC(=S)C3=C(O2)C(=CC=C3)C4=CC=CC=C4"
"O00329",4.84,"CCN1C2=C(C3CCCN3C1=S)C(=NC(=N2)C4=CC(=CC=C4)OC)N5CCOCC5"
"O00329",4.86,"CS(=O)(=O)C1=CC=C(C=C1)C2=CSC3=C2OC(=CC3=O)N4CCOCC4"
"O00329",4.9,"CN1C=CC(=N1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",4.9,"CS(=O)(=O)C1=NC=C(C=C1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",4.9,"C1=CC=C(C=C1)C2=C3C(=NC=NC3=NN2)N"
"O00329",4.9,"CCCN1C=C(C=N1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",4.9,"C1CC1CN2C=CC(=CC2=O)C3=CC4=C(C=C3)N=C(S4)N"
"O00329",4.9,"CCN(C)C1=NC=C(C=C1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",4.9,"CC(C)OC1=NC=C(C=C1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",4.92,"CC(C)CCN1C2=C(C(=N1)C3=CC4=CC=CC=C4C=C3)C(=NC=N2)N"
"O00329",4.92,"C1COCCN1C2=C3C=NNC3=NC=C2"
"O00329",4.92,"CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C"
"O00329",4.95,"CC1(CC2=C(C(=O)N1)SC(=N2)N3CCOC4=C3C=CC=C4F)C"
"O00329",4.95,"C1=CN=CC=C1C2=NC3=C(N=CN=C3S2)N"
"O00329",4.95,"C1COCCN1C2=NC(=NC3=C2N=CC=C3)C4=CC=C(C=C4)N"
"O00329",4.96,"CC1=CC=CC(=C1C)C2=C3C(=NC=NC3=NN2)N"
"O00329",4.96,"CC1=C(SC(=N1)NC(=O)[C@@H](C)CC(F)(F)F)C2=CN=C(C=C2)N"
"O00329",4.96,"C1=CC(=CC=C1C2=C3C(=NC=NC3=NN2)N)N"
"O00329",4.99,"CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)NC(=O)OC(C)(C)C)OC)C(=NC=N2)N"
"O00329",5.0,"C1COCCC1OC2=NC=NC3=C2N=C(C=C3)C4=CC(=CN=C4)NS(=O)(=O)C5=CC=CC=C5"
"O00329",5.0,"C1COCCC1NC2=NC=NC3=C2N=C(C=C3)C4=CC(=C(N=C4)Cl)NS(=O)(=O)C5=C(C=C(C=C5)F)F"
"O00329",5.0,"CCN1C=CC(=CC1=O)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",5.0,"CN1CCC(CC1)OC2=NC=NC3=C2N=C(C=C3)C4=CC(=CN=C4)NS(=O)(=O)C5=CC=CC=C5"
"O00329",5.0,"C1=CC=C(C=C1)S(=O)(=O)NC2=CN=CC(=C2)C3=NC4=C(C=C3)N=CN=C4OC5=CN=CC=C5"
"O00329",5.0,"C1=CC2=C(C=C1C3=CC(=O)NC=C3)SC(=N2)N"
"O00329",5.01,"C1COCCN1C2=CC(=O)C3=C(O2)C(=CS3)C4=CC(=CC=C4)N"
"O00329",5.02,"CC1=CC=C(C=C1)C2=C3C(=NC=NC3=NN2)N"
"O00329",5.03,"C[C@H]1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=O)(=O)C4CC4)C5=CC=C(C=C5)NC(=S)NCCO"
"O00329",5.04,"CC1=C(SC(=N1)NC(=O)N2C[C@@H](C[C@H]2C(=O)N)N(C)C)C3=CSC(=N3)C(C)(C)C"
"O00329",5.04,"C1COCCN1C2=CC(=O)N=C(N2)CC3=NC4=C(O3)C=C(C=C4)F"
"O00329",5.05,"C1=CC2=C(C=C1C3=CC=NC=C3)SC(=N2)N"
"O00329",5.05,"C1COCCN1C2=CC(=O)C3=C(O2)C(=CS3)C4=CC5=CC=CC=C5N4"
"O00329",5.05,"CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)/N=C/C2=C3C=C(C=CC3=CN=C2)Br"
"O00329",5.07,"C1COCCN1C2=CC(=O)N=C(N2)CC3=NC4=C(O3)C=CC=C4F"
"O00329",5.08,"CNC(=O)C1=NC(=CN=C1N)C2=CC(=CC=C2)C(F)(F)F"
"O00329",5.09,"CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CSC(=N3)N(C)C"
"O00329",5.1,"C1=CC=C(C=C1)CNS(=O)(=O)C2=CN=CC(=C2)C3=CN4C(=NC(=N4)N)C=C3"
"O00329",5.1,"CC1=C(SC(=N1)NC(=O)N2C[C@H](C[C@H]2C(=O)N)O)C3=CSC(=N3)C(C)(C)C"
"O00329",5.1,"C1=CC2=C(C=C1C3=NC=CN=C3)SC(=N2)N"
"O00329",5.1,"CN1C=C(C=N1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",5.1,"CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F"
"O00329",5.1,"COC1=CC=CC(=C1)C2=CSC3=C2OC(=CC3=O)N4CCOCC4"
"O00329",5.12,"C1COCCN1C2=NC(=NC3=C2C=CC=N3)C4=CC(=CC=C4)CO"
"O00329",5.12,"CC1(CC2=C(C(=O)N1)SC(=N2)N3CCOC4=C3C=C(C=C4)CN(C)C)C"
"O00329",5.13,"CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CSC(=N3)C4=CC=CC=C4F"
"O00329",5.13,"C1OC2=C(O1)C=C(C=C2)C3=C4C(=NC=NC4=NN3)N"
"O00329",5.14,"CCNC(=O)NC1=CC=C(C=C1)C2=NC3=C(C(=N2)N4CCCOCC4)N(C=N3)C"
"O00329",5.16,"CC(C)N1C2=C(C(=N1)C3=CN=C(C=C3)C#N)C(=NC=N2)N"
"O00329",5.17,"C1=CSC(=C1)CC2=NC(=NO2)C3=NON=C3N"
"O00329",5.17,"CN1C2=C(C=C(C=C2)C3=CC=CC=C3)N=C1CC4=NC(=O)C=C(N4)N5CCOCC5"
"O00329",5.17,"C1CCC(C1)N2C3=C(C(=N2)C4=CC5=CC=CC=C5C=C4)C(=NC=N3)N"
"O00329",5.19,"C1COCCN1C2=CC3=C(C=C2)C(=O)N=CN3"
"O00329",5.19,"C1=CC(=CC(=C1)O)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",5.2,"CCNC1=NC=C(C=C1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",5.2,"CS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C=C2"
"O00329",5.2,"COCC1=NC=C(C=C1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",5.2,"C1=CC=C(C=C1)COC2=CC=CC(=C2)C3=C4C(=NC=NC4=NN3)N"
"O00329",5.2,"CC1=CC(=CC(=C1O)C)C2=CN3C(=NC(=N3)NC(=O)C)C=C2"
"O00329",5.2,"CC(C)N1C2=C(C(=N1)C3=CC(=C(C=C3)F)C#N)C(=NC=N2)N"
"O00329",5.2,"COCCOC1=NC=C(C=C1)C2=CC3=C(C=C2)N=C(S3)N"
"O00329",5.2,"C1=CC(=CC=C1NS(=O)(=O)C2=CN=CC(=C2)C3=CN4C(=NC(=N4)N)C=C3)Cl"
"O00329",5.2,"CC(=O)NC1=NN2C=C(C=CC2=N1)C3=CC(=CC=C3)S(=O)(=O)NCC4=CC=CC=C4"
"O00329",5.22,"C1CC(CNC1)CN2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N"
"O00329",5.22,"CC1CC2=C(C(=O)C1)SC(=N2)N3CCOCC3"
"O00329",5.24,"CN1C(=O)C=C(N=C1CC2=NC3=C(N2)C=C(C=C3)F)N4CCOCC4"
"O00329",5.24,"CC1(CC2=C(C(=O)C1)SC(=N2)N3CCOC4=C3C=CC=N4)C"
"O00329",5.24,"CC1=NC(=NC(=N1)NCCC#N)N2C3=CC=CC=C3N=C2NC4=CC=NN4"
"O00329",5.24,"CC1=CC=CC(=C1)C2=C3C(=NC=NC3=NN2)N"
"O00329",5.25,"CC(C)(C)C1=NC2=C(S1)CCC3=C2SC(=N3)NC(=O)N4CC[C@H]5[C@@]4(C5)C(=O)N"
"O00329",5.26,"C1CC(NC1)CN2C3=C(C(=N2)C4=CC(=C(C=C4)Cl)O)C(=NC=N3)N"
"O00329",5.27,"CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)/N=C/C2=CN=C3N2C=CC=C3"
"O00329",5.28,"CC(C)N1C2=C(C(=N1)C3=CC4=C(C=CN=C4C=C3)N)C(=NC=N2)N"
"O00329",5.28,"C1COCCN1C2=NC(=NC3=C2N=CC=C3)C4=C5C=NNC5=CC=C4"
"O00329",5.28,"C[C@@H]1CN(C[C@@H](O1)C)C2=NC3=C(C=CC(=N3)C4=CC(=C(C=C4)OC)CO)C(=N2)N5CCOCC5"
"O00329",5.29,"C1=CC2=C(C=C1C3=CC=NC=C3)N=C(S2)N"
"O00329",5.29,"C1COCCN1C2=CC(=C(C=C2)C=O)O"
