,target_id,pAc,smiles
11345,P15056,4.04,COC(CNS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3C(=O)N)OC
11346,P15056,4.13,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC=CC=C3OC
11347,P15056,4.23,CC(=O)NS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3
11348,P15056,4.24,CC1=CC(=NN1C2=NC3=C(N2CC4=CC=CC=C4)C(=O)N(C(=O)N3C)C)C
11349,P15056,4.24,CN1C2=C(C(=O)NC1=O)N(C(=N2)N/N=C\C3=CC=C(C=C3)[N+](=O)[O-])CC4=CC=CC=C4
11350,P15056,4.285,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC(=C(C=C3)F)Cl
11351,P15056,4.3,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NN(C)C3=CC=CC=C3
11352,P15056,4.33,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCOC3=CC=C(C=C3)OC
11353,P15056,4.335000000000001,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCOC3=CC=CC=C3
11354,P15056,4.35,C1=CC2=C(C=C1S(=O)(=O)NCC(CO)O)C3=C(N2)C(=NC=C3)C(=O)N
11355,P15056,4.35,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCC3=CC=CC=C3
11356,P15056,4.39,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)OC)C(=O)NC3=CN=C(C=C3)C4=NC=CN4
11357,P15056,4.41,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC4=C(C=C3)OC(C(O4)(F)F)(F)F
11358,P15056,4.43,CN1C2=C(C(=O)NC1=O)N(C(=N2)N/N=C\C3=CC(=CC=C3)[N+](=O)[O-])CC=C
11359,P15056,4.43,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC(=C(C(=C3)OC)OC)OC
11360,P15056,4.43,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC4=C(C=C3)OC(O4)(F)F
11361,P15056,4.47,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC4=C(C=C3)OCCO4
11362,P15056,4.48,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCCC3=CC=CC=C3
11363,P15056,4.48,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=COC=C3
11364,P15056,4.52,CN1C2=C(C(=O)NC1=O)N(C(=N2)SC)CC3=CC=CC=C3
11365,P15056,4.53,CC1C(N(C2=C(N1)NC(=NC2=O)NC(=O)C3=C[N+](=CC=C3)C)C(=O)C4=C[N+](=CC=C4)C)C
11366,P15056,4.55,CCCNS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3C(=O)N
11367,P15056,4.59,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC=C(C=C3)OC
11368,P15056,4.62,C1=CC2=C(C=C1S(=O)(=O)NCCO)C3=C(N2)C(=NC=C3)C(=O)N
11369,P15056,4.64,COCCCNS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3C(=O)N
11370,P15056,4.66,CC(CNS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3C(=O)N)O
11371,P15056,4.68,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC=C(C=C3)OC(F)(F)F
11372,P15056,4.69,C1=CC2=C(C=C1S(=O)(=O)NCCCO)C3=C(N2)C(=NC=C3)C(=O)N
11373,P15056,4.7,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=NC(=CS3)C(C)(C)C
11374,P15056,4.74,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC=CC=C3
11375,P15056,4.75,C1=CC(=C(C=C1C2=C3C(=C(SC3=NC(=N2)N)C(=O)N)N)Cl)Cl
11376,P15056,4.76,C/C(=C/CN1C2=C(N=C1N/N=C(/C)\C3=CC=C(C=C3)[N+](=O)[O-])N(C(=O)NC2=O)C)/Cl
11377,P15056,4.795,CC1=CC(=NN1)CNC2=NC(=CN=C2)C3=CC(=CC=C3)NC(=O)C
11378,P15056,4.82,CC1=C(C=C(C=C1)C(=O)NCC2CCOC2)NC3=NC=NC4=CN=C(N=C43)N5CCCC5
11379,P15056,4.82,CC1=C(C=C(C=C1)C(=O)NC2CCCCC2)NC3=NC=NC4=CN=C(N=C43)N5CCCC5
11380,P15056,4.84,C[C@@H](CC1=NC(=C2C(=C(SC2=N1)C(=O)N)N)C3=CC(=C(C=C3)Cl)Cl)CO
11381,P15056,4.85,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC(=CC=C3)O
11382,P15056,4.869999999999999,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=C(C=C(C=C3)OC)OC
11383,P15056,4.87,CC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC4=C3C=CN=C4C(=O)N
11384,P15056,4.9,CC1=CC(=NO1)CNC2=NC(=CN=C2)C3=CC(=CC=C3)NC(=O)C
11385,P15056,4.92,CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=CC(=CN=C4N3)C)C)C(=O)NC5CCN(CC5)C
11386,P15056,4.93,COC1=CC=CC(=C1)C2=C3C(=C(SC3=NC(=N2)NC4CC4)C(=O)N)N
11387,P15056,4.94,C/C(=N/NC1=NC2=C(N1CC3=CC=CC=C3)C(=O)NC(=O)N2C)/C4=CC=CC=C4
11388,P15056,4.96,CN1C2=C(C(=O)NC1=O)N(C(=N2)SCC(=O)N)CC3=CC(=CC=C3)Br
11389,P15056,4.96,C/C(=C\CSC1=NC2=C(N1CC3=CC=CC=C3)C(=O)N(C(=O)N2C)CC4=CC=CC=C4)/Cl
11390,P15056,5.0,CC1=C(C=C(C=C1)NS(=O)(=O)C2CCCCC2)NC3=NC=NC4=CN=C(N=C43)N5CCN(CC5)C
11391,P15056,5.0,CC1=NC(=CC(=N1)NC2=CC(=CC=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)N4CCN(CC4)C
11392,P15056,5.0,CC1=C(C=C(C=C1)C(=O)NC2=NN=C(S2)C(F)(F)F)NC3=NC=NC4=CN=C(N=C43)N(C)CCN(C)C
11393,P15056,5.0,CC1=C(C=C(C=C1)NS(=O)(=O)CCC(C)C)NC2=NC=NC3=CN=C(N=C32)N4CCN(CC4)C
11394,P15056,5.0,CC1=C(C=C(C=C1)NS(=O)(=O)CC(C)C)NC2=NC=NC3=CN=C(N=C32)N4CCN(CC4)C
11395,P15056,5.0,C1CC1NC2=NC(=C3C(=C(SC3=N2)C(=O)N)N)C4=CC(=CC=C4)NC(=O)NC5=CC=CC=C5
11396,P15056,5.0,CCC(C)S(=O)(=O)NC1=CC(=C(C=C1)C)NC2=NC=NC3=CN=C(N=C32)N4CCN(CC4)C
11397,P15056,5.0,CC1=C(C=C(C=C1)NS(=O)(=O)CC(F)(F)F)NC2=NC=NC3=CN=C(N=C32)N4CCN(CC4)C
11398,P15056,5.0,CC1=C(C=C(C=C1)NS(=O)(=O)C)NC2=NC=NC3=CN=C(N=C32)N4CCN(CC4)C
11399,P15056,5.0,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(F)(F)F)NC3=NC=NC4=CN=C(N=C43)N5CCN(CC5)C
11400,P15056,5.01,C1=CC(=C(C=C1C2=C3C(=C(SC3=NC(=N2)NCCN)C(=O)N)N)Cl)Cl
11401,P15056,5.01,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC=CC=C3
11402,P15056,5.02,CC(C)(CO)NC1=NC(=C2C(=C(SC2=N1)C(=O)N)N)C3=CC(=C(C=C3)Cl)Cl
11403,P15056,5.04,C1CC1NS(=O)(=O)C2=CC3=C(C=C2)NC4=C3C=CN=C4C(=O)N
11404,P15056,5.05,C1=CC=C2C(=C1)C(=CC=C2O)NS(=O)(=O)C3=CC=CS3
11405,P15056,5.05,C1=CC(=CC=C1NS(=O)(=O)C2=CC3=C(C=C2)NC4=C3C=CN=C4C(=O)N)F
11406,P15056,5.06,CCN1CCN(CC1)CC/C=C/C2=CC3=NC=C(C(=C3C=C2)NC4=CC(=C(C=C4)SC5=NC=CN5C)Cl)C#N
11407,P15056,5.07,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N4CCOCC4
11408,P15056,5.1,CC(C)(C)NC(=O)NC1=CC=CC(=C1)C2=CSC3=C2C(=NC=C3C4=CN=CC=C4)N
11409,P15056,5.1,C1=CC(=C(C=C1C2=C3C(=C(SC3=NC(=N2)NCCO)C(=O)N)N)Cl)Cl
11410,P15056,5.1,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC(=CC=C3)F
11411,P15056,5.13,C1=CC2=C(C=C1S(=O)(=O)NC3=NC=CS3)C4=C(N2)C(=NC=C4)C(=O)N
11412,P15056,5.14,CC(C)(C)C1=CC(=C(C(=C1)NS(=O)(=O)C)OC)NC(=O)NC2=CC=C(C3=CC=CC=C32)C4=CN=C(C=C4)CN5CCOCC5
11413,P15056,5.15,CN(C)CCOC(=O)C1=C2N=CC=C(N2N=C1)C3=CC(=CC=C3)NC(=O)C4=CC(=CC=C4)C(F)(F)F
11414,P15056,5.16,C[C@H](CO)OC1=NC(=C2C(=C(SC2=N1)C(=O)N)N)C3=CC(=C(C=C3)Cl)Cl
11415,P15056,5.17,C1COCCN1CCCNC(=O)C2=NC=CC(=C2)CNC3=CC=CC=C3C(=O)NC4=CC5=C(C=C4)OC(O5)(F)F
11416,P15056,5.19,CC(=O)NC1=C(C=CC(=C1)NC2=C(C=CC=N2)C3=C4C(=NC=N3)N=CN4)Cl
11417,P15056,5.2,C1COCCN1CCNC(=O)C2=C3N=CC=C(N3N=C2)C4=CC(=CC=C4)NC(=O)C5=CC(=CC=C5)C(F)(F)F
11418,P15056,5.21,C1CN(CCN1)C2=NN3C(=CC=NC3=C2)C4=CC(=CC=C4)NC(=O)C5=CC(=CC=C5)C(F)(F)F
