,target_id,pAc,smiles
1425,O75116,5.0,C1=CC=C2C(=C1)N/C(=C(/C#N)\C3=NC(=NC=C3)NCCC4=CN=CC=C4)/S2.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
1426,O75116,5.03,C[C@@H](C1=CC(=CC=C1)OC)NC(=O)NC2=NC(=CS2)C3=CC=NC=C3
1427,O75116,5.05,C1CN(C[C@H]1NC2=CC=CC3=C2C=CN=C3)CC4=CC=C(C=C4)SC5CC5
1428,O75116,5.05,CC1=CC(=CC=C1)N(CCO)C(=O)NC2=CC=C(C=C2)C3=C4C(=CNC4=NC=N3)C
1429,O75116,5.08,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)NC3=CC=CC(=C3)C(=O)N
1430,O75116,5.12,CN(CCC1=CC=CC=C1)C(=O)NC2=CC3=C(C=C2)NN=C3
1431,O75116,5.12,C1=CC=C(C=C1)[C@H](CO)NC(=O)NC2=CC=C(C=C2)C3=CC=NC=C3
1432,O75116,5.13,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)C3=CC(=C(C=C3)OC)C(F)(F)F
1433,O75116,5.14,C#CC1=C(C=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4)O
1434,O75116,5.15,CN1C2=C(C=C(C=C2)Cl)C(=O)N[C@@H](C1=O)CC3=CC=C(C=C3)C4=CC(=NC=C4)N
1435,O75116,5.15,CC1=CNC2=NC=NC(=C12)C3=CC(=C(C=C3)NC(=O)NC4=CC=CC(=C4)C(=O)NC(C)C)OCCN(C)C
1436,O75116,5.17,CCN(CC)C1=NC=C(N=C1N2CCCN(CC2)C)C3=CC=NC=C3
1437,O75116,5.17,COC1=CC2=C(CN(C2=O)C3=NC(=CS3)C(=O)NC4=C(C=CN=C4)N5CCNCC5)C=C1
1438,O75116,5.18,C1CC(CN(C1)CC2=CC(=CC=C2)OC3=CC=CC(=C3)C(F)(F)F)NC4=CC5=C(C=C4)NN=C5
1439,O75116,5.18,CC(C)(C)OC(=O)NCC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4
1440,O75116,5.18,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)NC4=CC=CC=C4OC
1441,O75116,5.18,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)N(CCO)C4=CC=CC=C4
1442,O75116,5.19,C1CC(CN(C1)CC2=CC=C(C=C2)C#CC3CC3)NC4=CC5=C(C=C4)NN=C5
1443,O75116,5.2,C[C@@H](C1=CC(=CC=C1)F)NC(=O)NC2=NC(=CS2)C3=CC=NC=C3
1444,O75116,5.2,CN1CCCN(CC1)C2=NC(=CN=C2N3CCOCC3)C4=CC=NC=C4
1445,O75116,5.2,CSC1=CC=C(C=C1)CN2CC[C@H](C2)NC3=CC=CC4=C3C=CN=C4
1446,O75116,5.21,CC(=O)NC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4
1447,O75116,5.22,C[C@@H](C(=O)N1CCC(CC1)NC2=CC3=C(C=C2)NN=C3)N
1448,O75116,5.22,C1CC(CN(C1)CC2=CC(=CC=C2)OC3=CC=C(C=C3)Cl)NC4=CC5=C(C=C4)NN=C5
1449,O75116,5.23,CC1=CC=C(C=C1)N(CCO)C(=O)NC2=CC=C(C=C2)C3=C4C(=CNC4=NC=N3)C
1450,O75116,5.24,C1CC(CN(C1)CC2=CC=CC(=C2)C#N)NC3=CC=CC4=C3C=CN=C4
1451,O75116,5.245,COC1=C(C=C(C=C1)C(=O)NCC2=CC=CC(=C2)C(=O)NC3=CC4=C(CNCC4)C=C3)OC
1452,O75116,5.25,C1CC(CN(C1)CC2=C(C=CC(=C2)Br)Br)NC3=CC4=C(C=C3)NN=C4
1453,O75116,5.25,CC(C)NC(=O)C1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C(=NC=N3)N=CN4
1454,O75116,5.26,C1=CC=C(C=C1)CNC(=O)NC2=CC3=C(C=C2)NN=C3
1455,O75116,5.26,C1=CC(=CC(=C1)NC(=O)NCC2=CC=CC(=C2)C(=O)NCCC3=CC=NC=C3)C#N
1456,O75116,5.27,C1CN(C[C@H]1NC2=CC=CC3=C2C=CN=C3)CC4=CC(=CC=C4)OCCO
1457,O75116,5.27,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)F
1458,O75116,5.27,C1=CC=C(C=C1)C[C@H](CO)NC(=O)NC2=CC=C(C=C2)C3=CC=NC=C3
1459,O75116,5.28,C1CN(CCN1C2=CC3=C(C=C2)NN=C3)C(=O)[C@@H]4CC5=CC=CC=C5CN4
1460,O75116,5.29,C1=CC=C(C=C1)CNC(C2=CC=CC=C2)C(=O)NC3=C(C=C4C(=C3)C=CNC4=O)Cl
1461,O75116,5.3,CCCNC(=O)C1=CC(=CC=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC
1462,O75116,5.33,CCCCC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4
1463,O75116,5.35,CC1=CNC2=NC=NC(=C12)C3=CC(=C(C=C3)NC(=O)N(CCO)C4=CC=CC=C4)F
1464,O75116,5.36,C1CC(CN(C1)CC2=CC=C(C=C2)C#CCO)NC3=CC4=C(C=C3)NN=C4
1465,O75116,5.36,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)N(CCO)C4=CC=C(C=C4)Cl
1466,O75116,5.36,COC1=CC=CC(=C1)CNC(=O)C2=CC3=C(N2CC4=CC(=CC=C4)OC)N=C(C=C3)C5=CNN=C5
1467,O75116,5.38,C1CC(CN(C1)CC2=CC(=CC=C2)C(F)(F)F)NC3=CC=CC4=C3C=CN=C4
1468,O75116,5.39,C1CC(CN(C1)CC2=CC=CC(=C2)C3CC3)NC4=CC=CC5=C4C=CN=C5
1469,O75116,5.39,C1CN(C[C@H]1NC2=CC=CC3=C2C=CN=C3)CC4=CC=C(C=C4)C5CC5
1470,O75116,5.4,C1C[C@H](CN(C1)CC2=CC(=CC=C2)OCCO)NC3=CC=CC4=C3C=CN=C4
1471,O75116,5.41,CC(C)[C@H](C(=O)N1CCN(CC1)C2=CC3=C(C=C2)NN=C3)O
1472,O75116,5.415,C1=CC(=CC(=C1)CNC(=O)NC2=CC=C(C=C2)C#N)C(=O)NC3=CC=C(C=C3)CN
1473,O75116,5.43,CC(=O)NC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC=CC4=C3C=CN=C4
1474,O75116,5.4350000000000005,CN(C)CC1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)CNC(=O)NC3=CC(=C(C=C3)C(=O)N)Cl
1475,O75116,5.44,C1CN(CC1NC2=CC=CC3=C2C=CN=C3)CC4=CC=CC(=C4)C#N
1476,O75116,5.44,C1CC(CN(C1)CC2=CC3=C(C=C2)N(C=C3)CC(=O)O)NC4=CC5=C(C=C4)NN=C5
1477,O75116,5.44,CC(=O)NC1=CC=C(C=C1)CN2CCC(C2)NC3=CC=CC4=C3C=CN=C4
1478,O75116,5.44,CC(C)CC1=CC=C(C=C1)CN2CCCC(C2)NC3=CC4=C(C=C3)NN=C4
1479,O75116,5.46,CC(C)OC1=CC=CC(=C1)CNC(=O)NC2=NC(=CS2)C3=CC=NC=C3
1480,O75116,5.46,C1CC(OC1)CNC(=O)C2=CC(=CC=C2)CNC(=O)NC3=CC=CC(=C3)C#N
1481,O75116,5.46,CN(C)CCCOC1=CC=C(C=C1)CN2CCC(C2)NC3=CC4=C(C=C3)NN=C4
1482,O75116,5.47,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
1483,O75116,5.48,CN(C)CCCN(C1=CC=C(C=C1)C2=CNN=C2)C(=O)NCC3=CC(=CC=C3)OC
1484,O75116,5.48,CNC(=O)N(CCCN(C)C)C1=CC=C(C=C1)C2=CNN=C2
1485,O75116,5.48,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)N(CCO)C4=CC=CC=C4Cl
1486,O75116,5.49,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)N(CCO)C4=CC=C(C=C4)F
1487,O75116,5.49,CC1=CNC2=NC=NC(=C12)C3=CC=C(C=C3)NC(=O)N(CCO)C4=CC(=CC=C4)OC
1488,O75116,5.49,CS(=O)(=O)NC1=CC=CC(=C1)CN2CC[C@@H](C2)NC3=CC=CC4=C3C=CN=C4
1489,O75116,5.5,CSC1=CC=C(C=C1)CN2CC[C@@H](C2)NC3=CC=CC4=C3C=CN=C4
1490,O75116,5.5,CC(C1=CC=CC=N1)NC(=O)C2(CCN(CC2)C3=NC=NC4=C3C=CN4)N
