,target_id,pAc,smiles
29218,Q05397,4.77,CC1=C(C=C(C=C1)O)CC[C@H]2[C@@H]3CC[C@@H]([C@]3(CC[C@@H]2O)C)[C@H](C)/C=C/CC(C)C
29219,Q05397,4.79,CC1=CC=CC(=C1)/C=C\C2=NC=C(N2CCOC(=O)C3=C4C(=CC=C3)OCCO4)[N+](=O)[O-]
29220,Q05397,4.79,CC1=C(C(=C(C2=C1C(OC2=O)OC)O)O)O
29221,Q05397,4.8,CC1=CC(=CC=C1)CSC2=NN=C(O2)CN3C4=CC=CC=C4N=N3
29222,Q05397,4.82,CC1=C2C(=CC(=C1O)O)OC3=CC(=CC(=C3C2=O)O)O
29223,Q05397,4.83,C1=CC=C(C=C1)N2C(=NN=C2SCC3=CC(=CC=C3)Br)C4=CC=NC=C4
29224,Q05397,4.85,C1=CC=C2C(=C1)N=NN2CC3=NN=C(O3)SCC4=CC(=CC=C4)Br
29225,Q05397,4.87,COC1=CC=C(C=C1)C2=NN(C(C2)C3=CC=CC4=CC=CC=C43)C(=S)N
29226,Q05397,4.88,CC1=C(C=C(C=C1)O)CC[C@H]2[C@@H]3CC[C@@H]([C@]3(CC[C@H]2O)C)[C@H](C)CCCC(C)C
29227,Q05397,4.91,C1COC2=C(C=CC=C2O1)C(=O)OCCN3C(=CN=C3/C=C\C4=CC=CC=C4Br)[N+](=O)[O-]
29228,Q05397,4.92,C1=CC=C(C=C1)N2C(=NN=C2SCC(=O)N/N=C/C3=CC=C(C=C3)Cl)C4=CC=NC=C4
29229,Q05397,4.92,CC1=CC=CC=C1CSC2=NN=C(O2)CN3C4=CC=CC=C4N=N3
29230,Q05397,4.94,CC1=CC=C(C=C1)C2=NN(C(C2)C3=CC4=CC=CC=C4C=C3)C5=CC=CC=C5
29231,Q05397,4.97,CC1=C(C=C(C=C1)O)CC[C@H]2[C@@H]3CC[C@@H]([C@]3(CCC2=O)C)[C@H](C)CCC(=C)C(C)C
