,target_id,pAc,smiles
7301,P04626,4.46,C1=CSC(=C1)C(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7302,P04626,4.46,C1=CC=C(C=C1)CCCNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7303,P04626,4.47,CC1=C(C(=CC=C1)C)NC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7304,P04626,4.47,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=CC=C3)Br)C#N)NC(=O)/C=C/CN4CCOCC4
7305,P04626,4.47,CC(/C=C/C(=O)NC1=C(C=C2C(=C1)C(=C(C=N2)C#N)NC3=CC(=C(C=C3)F)Cl)OC)N4CCOCC4
7306,P04626,4.47,COC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=CC=C3)Br)C#N)NC(=O)/C=C/CN4CCOCC4
7307,P04626,4.49,CCCCN(CC1=C(C(=CC=C1)Cl)O)C(=S)NC2=CC=CC=C2
7308,P04626,4.5,CC1=CC=CC(=C1)/C=N/NC2=NC(=O)CS2
7309,P04626,4.5,COC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)/C=C/CN4CCOCC4
7310,P04626,4.5,C1=CC(=CC=C1C2=NNN=C2C#N)F
7311,P04626,4.51,C1CCCC(=NNC2=NC(=O)CS2)CCC1
7312,P04626,4.51,C1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)Cl)O
7313,P04626,4.51,CC1=CC(=O)C2=C(C1=O)C=CC=C2O
7314,P04626,4.52,CCCCNC(=O)C1=CC=C(C=C1)N(CCCl)CCCl
7315,P04626,4.54,COC1=CC=C(C=C1)CC(=O)NS(=O)(=O)C2=CC=CC=C2
7316,P04626,4.55,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)CC2=CC(=CC=C2)Br
7317,P04626,4.55,C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)NC4=NC=CC(=C34)NC5=CC(=CC=C5)OCC6=CC=CC=C6
7318,P04626,4.56,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
7319,P04626,4.56,C1C(=O)N=C(S1)N/N=C/C2=CC(=CC=C2)O
7320,P04626,4.56,C1=CC(=CC(=C1)Br)CC(=O)NS(=O)(=O)C2=CC=C(C=C2)Br
7321,P04626,4.57,C1=CC(=CC=C1C(=O)NC2=CC=C(C=C2)[N+](=O)[O-])N(CCCl)CCCl
7322,P04626,4.57,C1=CC=C(C=C1)CN2C=NC3=C2C=CC(=C3)NC4=NC=NC5=CC=CC=C54
7323,P04626,4.58,C1=CC=C(C=C1)S(=O)(=O)NC(=O)CC2=CC(=CC=C2)Br
7324,P04626,4.59,COC1=CC(=CC(=C1OC)OC)C2=C(C(=O)NC2=O)C3=CNC4=CC=CC=C43
7325,P04626,4.59,CN(C)/C=C/C(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
7326,P04626,4.59,C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)N(CCCl)CCCl
7327,P04626,4.59,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)O[C@@H](C)C4=CC=CC=C4)Cl)C#N)NC(=O)/C=C/CN(C)C
7328,P04626,4.6,COC1=CC=C(C=C1)CC(=O)NS(=O)(=O)C2=CC=C(C=C2)Br
7329,P04626,4.6,CC(C)(C)OCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3)C4=CC(=C(C(=C4)OC)OC)OC
7330,P04626,4.63,C1=CC(=CC(=C1)Br)CC(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl
7331,P04626,4.63,COC1=CC=C(C=C1)CC(=O)NS(=O)(=O)C2=CC=C(C=C2)F
7332,P04626,4.63,COC1=C2C(=CC(=C1)NC(=O)/C=C/CN3CCOCC3)C(=C(C=N2)C#N)NC4=CC(=CC=C4)Br
7333,P04626,4.639999999999999,C1=CC=C(C=C1)CCNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7334,P04626,4.64,CN(C1=CC=CC=C1)C(=O)C2=CC=C(C=C2)N(CCCl)CCCl
7335,P04626,4.64,CCOC(=O)C1=C(N(C2=C(C1C3=CC4=C(C=CC(=C4)Cl)N5C3=NN=N5)C(=O)CCC2)C6=CN=CC=C6)N
7336,P04626,4.64,C1=CC(=CC(=C1)F)COC2=C(C=C(C=C2)NC3=NC=NC=C3)Cl
7337,P04626,4.64,CN(CCCl)C(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Cl
7338,P04626,4.65,CN1C2=CC=CC=C2/C(=C/C3=CC=C(C=C3)Br)/C1=O
7339,P04626,4.66,C/C=C\C(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
7340,P04626,4.66,C1C(=O)N=C(S1)N/N=C/C2=CC(=CC=C2)F
7341,P04626,4.67,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)/C=C/C
7342,P04626,4.68,CC1=CC2=C(C=C1C)N=C(C(=N2)CBr)C3=CC=CC=C3
7343,P04626,4.68,C1=CC=C(C=C1)CN2C=NC3=C2C=C(C=C3)NC4=NC=NC5=CC=CC=C54
7344,P04626,4.68,CC1=CC(=C(C(=C1)C)NC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N)C
7345,P04626,4.69,C1=CC(=CC(=C1)Br)CC(=O)NS(=O)(=O)C2=CC=C(C=C2)F
7346,P04626,4.69,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)CC2=CC=C(C=C2)Br
7347,P04626,4.7,CCCCN1C(=NC2=C1N=CN=C2N)CC3=C(C=CC(=C3)OC)Cl
7348,P04626,4.7,C1=CC(=CC=C1CC(=O)NS(=O)(=O)C2=CC=C(C=C2)Br)Br
7349,P04626,4.71,CC1=NC=C(N1CCOC(=O)/C=C/C2=CC(=CC=C2)[N+](=O)[O-])[N+](=O)[O-]
7350,P04626,4.71,C1CC2=C(C(C(=C(N2C3=CN=CC=C3)N)C#N)C4=CC5=C(C=CC(=C5)Cl)N6C4=NN=N6)C(=O)C1
7351,P04626,4.71,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
7352,P04626,4.71,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
7353,P04626,4.72,C1=CC(=CC=C1CC(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)Br
7354,P04626,4.72,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
7355,P04626,4.72,C1=CC=C(C=C1)S(=O)(=O)NC(=O)CC2=CC=C(C=C2)Br
7356,P04626,4.72,CC(C)(C)C1=C(C(=CC(=C1)/C=C\2/C3=CC=CC=C3NC2=O)Br)OC
7357,P04626,4.73,CC1=C(C(=CC=C1)CN(CC2=CC=C(C=C2)O)C(=O)NC3=CC=CC=C3)O
7358,P04626,4.73,CC1=NC=C(N1CCOC(=O)/C=C/C2=CC(=CC=C2)OC)[N+](=O)[O-]
7359,P04626,4.74,C1=CC=C(C=C1)C(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7360,P04626,4.74,C1C(N(N=C1C2=CC=C(C=C2)F)C3=NC(=O)CS3)C4=CC=C(C=C4)F
7361,P04626,4.755,C1=CC(=C(C=C1/C=C(\C#N)/C(=O)C2=CC(=C(C=C2)O)O)O)O
7362,P04626,4.76,CC1=CC=C(C=C1)S(=O)(=O)CC2=C(C(=CC(=C2)C=C(C#N)C#N)OC)O
7363,P04626,4.77,CC(C)C1=CC=C(C=C1)/C=C/2\C3=CC=CC=C3NC2=O
7364,P04626,4.77,C1CCC(CC1)NC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7365,P04626,4.78,CC1=NC=C(N1CCOC(=O)/C=C/C2=CC(=CC=C2)F)[N+](=O)[O-]
7366,P04626,4.78,C1C(N(N=C1C2=CC=C(C=C2)Cl)C3=NC(=O)CS3)C4=CC=C(C=C4)F
7367,P04626,4.78,C1=CC=C(C=C1)OC2=C(C=C(C=C2)C3=NNN=C3C#N)F
7368,P04626,4.79,CC(C)(C)C1=C(C=CC(=C1)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)OC
7369,P04626,4.79,CC1=CC(=C(C(=C1)CN(CC2=CC=C(C=C2)O)C(=O)NC3=CC=CC=C3)O)C
7370,P04626,4.79,C1=CC(=CC=C1CC(=O)NS(=O)(=O)C2=CC=C(C=C2)F)Br
7371,P04626,4.8,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O
7372,P04626,4.8,C1=CC(=CC(=C1)NC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N)C(F)(F)F
7373,P04626,4.8,COC1=C(C(=CC(=C1)/C=C(\C#N)/C(=O)N)SCCCC(=O)O)O
7374,P04626,4.81,CC1=C(C(=CC=C1)CN(CC2=CC=C(C=C2)F)C(=S)NC3=CC=CC=C3)O
7375,P04626,4.81,C1=CC=C(C(=C1)NC(=O)C2=CC=C(C=C2)N(CCCl)CCCl)F
7376,P04626,4.81,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)CC2=CC=C(C=C2)Cl
7377,P04626,4.81,C1=CC(=CC(=C1)Br)NC2=NC=NC3=C2C=C(C=C3)NC(=O)/C=C/CN4C=CC=N4
7378,P04626,4.82,COC1=CC(=CC(=C1O)CSC2=NC3=C(S2)C=CC(=C3)Cl)/C=C(\C#N)/C(=O)N
7379,P04626,4.82,COC1=CC(=CC(=C1OC)OC)C2=C(C(=O)NC2=O)C3=CNC4=C3C=C(C=C4)I
7380,P04626,4.82,CC(C)(C)C1=C(C(=CC(=C1)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)Br)OC
7381,P04626,4.82,CC(=C)C(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
7382,P04626,4.83,CC1=CC2=C(C=C1)N3C(=NN=N3)C(=C2)C4C(=C(N(C5=C4C(=O)CCC5)C6=CN=CC=C6)N)C#N
7383,P04626,4.83,COC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)OCCCN4CCOCC4
7384,P04626,4.84,CC1=NC=C(N1CCOC(=O)/C=C/C2=CC=C(C=C2)OC)[N+](=O)[O-]
7385,P04626,4.84,C1C(=O)N=C(S1)N/N=C/C2=CC(=CC=C2)Cl
7386,P04626,4.86,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
7387,P04626,4.87,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
7388,P04626,4.87,C1=CC(=CC=C1CC(=O)NS(=O)(=O)C2=CC=C(C=C2)Br)Cl
7389,P04626,4.87,CC(C)C1=CC=C(C=C1)C2=NNN=C2C#N
7390,P04626,4.88,C1=CC(=CC=C1C(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N)F
7391,P04626,4.88,COC1=CC(=CC(=C1OC)OC)C2=C(C(=O)NC2=O)C3=CNC4=C3C=C(C=C4)Br
7392,P04626,4.88,C1C(N(N=C1C2=CC=C(C=C2)F)C3=NC(=O)CS3)C4=CC=C(C=C4)Cl
7393,P04626,4.88,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=CC=C3)OCC4=CC=CC=C4)C#N)NC(=O)/C=C/CN(C)C
7394,P04626,4.88,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
7395,P04626,4.88,C1=CC=C(C=C1)S(=O)(=O)NC(=O)CC2=CC=C(C=C2)Cl
7396,P04626,4.88,C1=CC(=CC=C1CC(=O)NS(=O)(=O)C2=CC=C(C=C2)Cl)Cl
7397,P04626,4.88,CC(C)(C)C1=C(C=CC(=C1)/C=C\2/C3=CC=CC=C3NC2=O)OC
7398,P04626,4.89,C1=CC=C(C(=C1)NC(=O)C2=CC=C(C=C2)N(CCCl)CCCl)Cl
7399,P04626,4.89,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=C(C=N2)C#N)NC3=CC(=C(C=C3)NCC4=CC=CC=C4)Cl)OC
7400,P04626,4.91,C1=CC=C2C(=C1)C(=CN2)CC(=O)NNC(=S)NC3=C(C=CC=N3)Br
7401,P04626,4.91,CC1=CC(=CC=C1)NC2=NC=NC3=C2C=C(C=C3)NC(=O)N(CCCl)N=O
7402,P04626,4.91,COC1=CC=C(C=C1)C2CC(=NN2C3=NC(=O)CS3)C4=CC=C(C=C4)F
7403,P04626,4.91,C1=CC=C(C=C1)NC(=O)N(CC2=CC=C(C=C2)F)CC3=CC(=CC(=C3O)Br)Br
7404,P04626,4.92,C1=CC=C(C(=C1)C(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N)Cl
7405,P04626,4.92,CCCCN1C(=NC2=C1N=CN=C2N)CC3=C(C=CC(=C3)OC)OC
7406,P04626,4.93,CC(/C=C/C(=O)NC1=C(C=C2C(=C1)C(=C(C=N2)C#N)NC3=CC(=C(C=C3)F)Cl)OC)N(C)C
7407,P04626,4.93,COCCOC1=C(C=C2C(=C1)C(=C(C=N2)C#N)NC3=CC=CC(=C3)C#C)OCCOC
7408,P04626,4.93,CC1=CC(=CC=C1)NC2=NC=NC3=C2C=C(C=C3)NC(=O)N(C)CCCl
7409,P04626,4.95,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
7410,P04626,4.96,C1=CC(=CC=C1CC(=O)NS(=O)(=O)C2=CC=C(C=C2)F)Cl
