,target_id,pAc,smiles
30244,Q16539,3.4450000000000003,C1=CC=C(C=C1)COC2=C(N=CC=C2)N
30245,Q16539,3.6,C[C@@H]1[C@@H]([C@H](O[C@@H]1C2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)OCO5)C
30246,Q16539,3.71,C1OC2=C(O1)C=C(C=C2)C(CC(=O)C3=CC4=C(C=C3)OCO4)C(=O)O
30247,Q16539,3.78,CC1=CN(C(=O)C=C1)C2=CC=CC=C2
30248,Q16539,3.8,C1=CC=C(C=C1)CN2C=C(N=N2)C3=NC(=C(O3)C4=CC=NC=C4)C5=CC=C(C=C5)F
30249,Q16539,4.0,CC1=C(C(=O)N(N1CC(C)(C)O)C2=CC=CC=C2)C(=O)NC3=NC=C(C=C3)OC4=C5C=CC(=CC5=NC=C4)OC
30250,Q16539,4.0,CN1C=NC2=C1N=C(N=C2NCC3=CC=CC=C3)NCCO
30251,Q16539,4.0,CC1=C(C=C(C=C1)C2=NNC(=C2)C(F)(F)F)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
30252,Q16539,4.0,CC1=C(C=C(C=C1)C2=NC=C(N2C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
30253,Q16539,4.0,CC1=C(C=C(C=C1)C2=CN(C(=N2)C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
30254,Q16539,4.0,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC=C(C=C3)CN4CCN(CC4)C
30255,Q16539,4.0,CC1=C(C=C(C=C1)C2=C(N(N=C2C)C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
30256,Q16539,4.0,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCN(CC4)C
30257,Q16539,4.0,CC1=C(C=C(C=C1)C2=C(NC=N2)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4
30258,Q16539,4.0,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
30259,Q16539,4.04,C\1NC/C(=C\C2=CC=CC=C2F)/C(=O)/C1=C/C3=CC=CC=C3F
30260,Q16539,4.06,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O
30261,Q16539,4.06,C1CNC(=O)C2=C1NC(=C2)C3=CC(=NC=C3)C4=CC=CC=C4F
30262,Q16539,4.08,CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O
30263,Q16539,4.09,CSC1=NC=CC(=N1)C2=C(N=C(N2)C3=CC=C(C=C3)C#C)C4=CC=C(C=C4)F
30264,Q16539,4.14,C=CC1=C(C=CN(C1=O)CC2=CC=CC=C2)OCC3=CC=CC=C3
30265,Q16539,4.17,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
30266,Q16539,4.18,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O
30267,Q16539,4.19,C1=CC=C(C=C1)C(=O)C2=C(N(N=C2)C3=CC(=CC=C3)[N+](=O)[O-])N
30268,Q16539,4.21,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
30269,Q16539,4.24,CC1=CC=CC(=N1)C2=C(N=C(N2)NC(=O)C)C3=CN4C(=NC=N4)C=C3
30270,Q16539,4.25,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
30271,Q16539,4.25,CCOC(=O)CN1C(=CN=N1)C2=NC(=C(N2C)C3=CC=NC=C3)C4=CC=C(C=C4)F
30272,Q16539,4.26,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O
30273,Q16539,4.26,C1=CC=C(C(=C1)N)S/C(=C(/C(=C(/SC2=CC=CC=C2N)\N)/C#N)\C#N)/N
30274,Q16539,4.27,CC1=CN(C(=O)C=C1)C2=CC=C(C=C2)OCCN3CCCCC3
30275,Q16539,4.28,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)OC)O
30276,Q16539,4.285,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
