,target_id,pAc,smiles,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
30244,Q16539,3.4450000000000003,C1=CC=C(C=C1)COC2=C(N=CC=C2)N,2.2427999999999995,59.42340000000002,88.52652334742372,48.14,200.241,200.09496300400002,3,2,3,1,3,0,3,15,27,0,0,2,2,0,0,1,0,0,1,0,0,0.08333333333333333,8.258721089857003,4.7328588962964115,3.1610522751755177,2.0369013741640734,1.2601379706966742,4.7328588962964115,3.1610522751755177,2.0369013741640734,1.2601379706966742,-2.03,9.522159782005515,4.460784585327243,2.465042169681875,10.470530430962237,4.9839785209472085,6.606881964512918,0.0,5.563451491696997,48.661413050844345,0.0,0.0,5.817862777835027,5.749511833283905,0.0,4.736862953800049,0.0,4.9839785209472085,0.0,6.606881964512918,5.733667477162185,54.22486454254134,5.749511833283905,5.817862777835027,10.470530430962237,0.0,4.9839785209472085,0.0,0.0,30.33183534230805,17.696185628620213,6.196843571613075,0.0,6.606881964512918,11.567374611118932,0.0,0.0,0.0,12,0,0,0,0,0,0,1,1,1,0,15,4,0,0,6,6,3,4,3,2,1,0,0,1,2,0,0,9,3,0,0,0,0,2,0,0,0,0,0,0
30245,Q16539,3.6,C[C@@H]1[C@@H]([C@H](O[C@@H]1C2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)OCO5)C,4.228800000000004,90.02500000000006,145.95826692768063,46.15000000000001,340.37500000000006,340.13107373999986,5,0,2,0,5,0,5,25,45,4,0,5,2,1,3,0,1,3,2,0,0,0.4,14.228957706588671,8.65072019109206,6.920914808276942,5.527963020222997,3.901686036698099,8.65072019109206,6.920914808276942,5.527963020222997,3.901686036698099,-2.4,14.902278252021034,5.560785265354656,2.336002882753029,18.9474518152002,13.585884612199655,4.736862953800049,11.835812092322788,37.182310158271854,36.398202410769656,0.0,0.0,0.0,22.99804733313562,0.0,23.684314769000245,0.0,0.0,11.835812092322788,26.055407174877853,13.585884612199655,47.525105394163646,22.99804733313562,0.0,23.684314769000245,0.0,0.0,0.0,0.0,25.98020853630447,47.22818334956322,0.0,12.207932775496605,0.0,22.99804733313562,13.585884612199655,0.0,0.0,20,0,0,0,0,0,0,0,0,0,5,25,4,0,0,19,6,2,10,5,0,0,0,0,2,0,0,0,13,10,0,0,0,3,2,0,0,0,0,4,2
30246,Q16539,3.71,C1OC2=C(O1)C=C(C=C2)C(CC(=O)C3=CC4=C(C=C3)OCO4)C(=O)O,2.5851999999999995,84.45430000000006,142.23794657519326,91.29,342.3030000000001,342.07395278799993,7,1,5,1,6,0,7,25,39,1,1,4,2,0,2,0,0,2,2,0,0,0.2222222222222222,13.059475566170164,7.668271901192753,5.6988632187447,4.181154502072115,2.8508452710189904,7.668271901192753,5.6988632187447,4.181154502072115,2.8508452710189904,-3.22,15.316035270183914,6.010002711476703,2.842178343947069,18.9474518152002,30.444962241357146,4.794537184071822,0.0,28.26016783655321,36.398202410769656,0.0,0.0,0.0,22.99804733313562,0.0,33.643053578184535,0.0,0.0,0.0,12.338727669087405,13.585884612199655,47.525105394163646,22.99804733313562,11.75255023431679,24.053979210040897,9.589074368143644,0.0,0.0,0.0,6.06636706846161,35.89528683400505,11.984273114623006,5.917906046161393,0.0,28.781292279500562,13.585884612199655,0.0,5.9693052879518484,18,0,0,0,0,0,0,0,0,3,4,25,6,2,0,14,6,5,14,7,1,1,0,0,3,1,3,0,12,6,0,0,0,2,2,0,0,0,0,4,2
30247,Q16539,3.78,CC1=CN(C(=O)C=C1)C2=CC=CC=C2,2.1459200000000003,56.77600000000003,82.4445810075432,22.0,185.226,185.084063972,2,0,1,0,2,0,2,14,25,0,0,2,2,0,0,1,0,0,1,0,0,0.08333333333333333,7.974264039480831,4.519578970119784,3.2502388296110105,2.093334254226608,1.3836954263254397,4.519578970119784,3.2502388296110105,2.093334254226608,1.3836954263254397,-1.83,8.754379606904395,3.4993326132542006,1.5929698524109852,5.559266895052008,4.5670996477913555,0.0,6.923737199690624,5.563451491696997,53.45595023491617,0.0,5.687386274683562,0.0,0.0,0.0,0.0,0.0,4.5670996477913555,0.0,6.923737199690624,0.0,64.57866862166517,5.687386274683562,0.0,0.0,9.361636831863176,0.0,0.0,0.0,24.26546827384644,24.619922828310838,17.950596914758247,0.0,0.0,0.0,0.0,5.559266895052008,0.0,12,0,0,0,0,0,0,0,1,1,0,14,2,1,0,6,6,1,3,2,0,0,0,0,2,0,0,0,8,4,0,0,0,0,2,0,0,0,0,0,0
30248,Q16539,3.8,C1=CC=C(C=C1)CN2C=C(N=N2)C3=NC(=C(O3)C4=CC=NC=C4)C5=CC=C(C=C5)F,4.849500000000003,109.688,171.21921769335785,69.63,397.41300000000007,397.133888352,6,0,5,0,6,0,7,30,46,0,0,5,5,0,0,3,0,0,2,0,0,0.043478260869565216,15.812291290814194,9.377171624089993,6.726491347398678,4.632493550305644,3.1762022585441017,9.377171624089993,6.726491347398678,4.632493550305644,3.1762022585441017,-4.129999999999999,17.934016048115662,7.7103422523511185,3.602439339627996,0.0,24.961826880995503,6.544756405912576,5.817220841045895,5.563451491696997,89.73771940497032,0.0,34.16573031399126,4.39041504767482,0.0,0.0,8.807565984728168,0.0,24.961826880995503,0.0,6.544756405912576,0.0,96.70124080065986,34.16573031399126,0.0,4.417150937053346,4.9839785209472085,14.056196503767215,0.0,5.098681808301039,35.545220437962925,41.96165390246666,23.520590126620146,12.741599977525652,11.511148835894355,11.454175413722904,5.890723922025907,0.0,0.0,23,1,0,0,0,0,0,0,5,0,1,30,6,0,0,14,14,5,7,6,0,0,0,0,1,1,0,0,19,9,0,0,0,2,3,0,0,0,0,0,0
30249,Q16539,4.0,CC1=C(C(=O)N(N1CC(C)(C)O)C2=CC=CC=C2)C(=O)NC3=NC=C(C=C3)OC4=C5C=CC(=CC5=NC=C4)OC,4.714720000000003,151.6229999999997,229.98967657055508,120.5,539.5920000000001,539.216869028,10,2,8,2,9,1,10,40,69,0,0,5,5,0,0,3,0,0,2,0,0,0.2,22.58172142000693,12.626773418509293,9.910494078547856,6.2768051599251615,4.430456903862232,12.626773418509293,9.910494078547856,6.2768051599251615,4.430456903862232,-4.959999999999999,26.639347453641488,10.660484206197074,5.429141868412856,20.34978140665844,43.05611838863821,6.544756405912576,6.923737199690624,29.899391069998533,83.9182620803757,0.0,16.590311206764618,5.817862777835027,17.248535499851716,0.0,19.37479048651263,0.0,19.331562912184783,0.0,32.91701881596813,12.426586145283865,100.73490846197319,22.93592177453528,22.627967439267593,19.897041906447136,19.254855824236035,9.665781456092391,0.0,0.0,18.199101205384828,63.235781078303134,17.649434854539486,42.350463316935155,28.629849769383732,0.0,0.0,11.466446624403513,0.0,30,0,0,0,0,0,0,1,4,5,0,40,14,2,0,14,14,8,15,10,2,2,0,0,7,4,1,1,15,12,0,0,0,1,4,0,0,0,0,2,1
30250,Q16539,4.0,CN1C=NC2=C1N=C(N=C2NCC3=CC=CC=C3)NCCO,1.3795999999999995,85.64820000000003,127.60196428474394,87.89,298.35000000000014,298.15420919599995,7,3,6,3,7,0,7,22,40,0,0,3,3,0,0,2,0,0,1,0,0,0.26666666666666666,12.32148993619719,7.0928237018137725,4.913044063125501,3.2574427217113007,2.158490160420265,7.0928237018137725,4.913044063125501,3.2574427217113007,2.158490160420265,-2.67,14.274965688863569,6.399344116569053,2.9876040491091267,10.633577208012662,37.777200975899184,13.592428388589767,0.0,5.563451491696997,36.65915541707259,0.0,11.163877938383989,11.766202058821525,0.0,0.0,5.106527394840706,0.0,19.51903521063298,7.0476719826771905,6.544756405912576,23.78521557843816,42.22260690876959,0.0,22.930079997205514,20.307204250644727,0.0,4.9839785209472085,9.967957041894415,0.0,30.33183534230805,5.563451491696997,20.13718479450234,12.93420203927746,0.0,16.98174071621902,5.9483392809864934,0.0,0.0,15,0,0,0,0,0,0,2,4,1,0,22,8,0,0,8,8,6,8,7,3,3,0,0,2,5,0,0,9,6,0,0,0,1,2,0,0,0,0,2,1
30251,Q16539,4.0,CC1=C(C=C(C=C1)C2=NNC(=C2)C(F)(F)F)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,5.630220000000002,116.7269,187.0008998685249,79.9,452.43600000000015,452.146010508,6,2,6,2,4,1,9,33,52,0,0,4,4,0,0,2,0,0,2,0,0,0.125,17.480127202417382,9.971869288705832,7.282571155541054,4.894168676497241,3.068616978575873,9.971869288705832,7.282571155541054,4.894168676497241,3.068616978575873,-4.139999999999999,22.068204917228503,9.153528966970383,5.37771320741385,10.053651557806381,21.08852186690079,12.783180481956395,6.923737199690624,27.309296157162727,72.92688132469078,0.0,11.257379486545458,18.858631417708022,5.749511833283905,0.0,22.70264528089633,0.0,15.181342137549287,0.0,19.706917681647013,5.316788604006331,95.44164029778172,17.00689131982936,11.594566004035068,10.053651557806381,14.877197513320064,0.0,18.26992695132549,0.0,18.199101205384828,61.0181252390805,23.011132829690627,11.387855989696922,18.050321792645285,0.0,0.0,5.9071797293515065,6.176298517443475,24,3,0,0,0,0,0,1,3,2,0,33,12,1,0,12,11,6,8,6,2,2,0,0,5,3,1,1,15,8,0,0,0,1,3,0,0,0,0,0,0
30252,Q16539,4.0,CC1=C(C=C(C=C1)C2=NC=C(N2C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4.930240000000004,121.0822,181.11075369233342,69.04,412.49300000000017,412.18992600800004,6,1,6,1,5,1,6,31,55,0,0,4,4,0,0,2,0,0,2,0,0,0.16,17.79344737888966,10.045266727594276,7.400156234900705,5.193774148912643,3.196552998217072,10.045266727594276,7.400156234900705,5.193774148912643,3.196552998217072,-3.9299999999999993,20.347144151729328,8.832831701073124,4.637431061777413,10.053651557806381,20.442236419037272,13.654553947190108,13.847474399381248,27.309296157162727,73.05735782784225,0.0,11.387855989696925,5.687386274683562,5.749511833283905,0.0,9.531400137871868,0.0,14.535056689685769,7.0476719826771905,20.454356363894167,5.316788604006331,95.5721168009332,17.137367822980828,11.594566004035068,14.620751205597735,9.778515705019029,4.9839785209472085,0.0,0.0,18.199101205384828,61.87549537030951,41.94957637882936,5.693927994848461,18.180798295796748,0.0,0.0,5.9071797293515065,0.0,25,0,0,0,0,0,0,1,3,2,0,31,10,1,0,12,11,6,8,6,1,1,0,0,4,3,1,0,14,9,0,0,0,1,3,0,0,0,0,0,0
30253,Q16539,4.0,CC1=C(C=C(C=C1)C2=CN(C(=N2)C)C)NC(=O)C3=CC=C(C=C3)OCC4=CC=CC=N4,4.930240000000004,121.0822,181.11075369233336,69.04,412.49300000000017,412.18992600800004,6,1,6,1,5,1,6,31,55,0,0,4,4,0,0,2,0,0,2,0,0,0.16,17.79344737888966,10.045266727594276,7.402214158475468,5.1195379718307406,3.151779638335458,10.045266727594276,7.402214158475468,5.1195379718307406,3.151779638335458,-3.9299999999999993,20.347144151729328,8.832831701073124,4.804321912636339,10.053651557806381,20.442236419037272,13.654553947190108,13.847474399381248,27.439772660314198,73.05735782784225,0.0,11.257379486545458,5.687386274683562,5.749511833283905,0.0,9.531400137871868,0.0,14.535056689685769,7.0476719826771905,20.454356363894167,5.316788604006331,95.70259330408466,17.00689131982936,11.594566004035068,14.620751205597735,9.778515705019029,4.9839785209472085,0.0,0.0,18.199101205384828,61.87549537030951,36.2556483839809,11.387855989696922,18.180798295796748,0.0,0.0,5.9071797293515065,0.0,25,0,0,0,0,0,0,1,3,2,0,31,10,1,0,12,11,6,8,6,1,1,0,0,4,3,1,0,14,9,0,0,0,1,3,0,0,0,0,0,0
