,target_id,pAc,smiles,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
8685,P06239,2.51,COC1=CC(=CC(=C1)C(=O)NC2=CC=NC=C2)OC,2.3511,71.73620000000005,110.7414463923629,60.45,258.277,258.10044230799997,5,1,4,1,4,1,5,19,33,0,0,2,2,0,0,1,0,0,1,0,0,0.14285714285714285,10.71341035121893,5.671334539543014,3.791353523068629,2.5518221976458104,1.577042712776843,5.671334539543014,3.791353523068629,2.5518221976458104,1.577042712776843,-2.56,12.885564346435487,5.859579727195427,3.2178827977315696,14.790514511606428,25.11075333285378,0.0,0.0,10.35798867576882,42.72552248553421,0.0,0.0,5.687386274683562,11.49902366656781,0.0,14.268263091671919,0.0,4.9839785209472085,0.0,0.0,19.536383686561397,48.28897397723121,11.49902366656781,11.594566004035068,14.790514511606428,9.778515705019029,0.0,0.0,0.0,0.0,24.26546827384644,29.710891978068318,14.219595082555067,11.49902366656781,0.0,0.0,5.9071797293515065,0.0,14,0,0,0,0,0,0,1,1,3,0,19,7,1,0,6,6,4,8,5,1,1,0,0,3,3,1,0,8,4,0,0,0,0,2,0,0,0,0,0,0
8686,P06239,2.54,C1=CN=CC=C1CCC2=CC=NC=C2,2.2618,55.88200000000002,83.65767751624723,25.78,184.242,184.10004838400002,2,0,3,0,2,0,2,14,26,0,0,2,2,0,0,2,0,0,0,0,0,0.16666666666666666,7.927442906890018,4.727936211887777,3.2109237719276416,2.2010625527699283,1.3875840750466883,4.727936211887777,3.2109237719276416,2.2010625527699283,1.3875840750466883,-1.7000000000000002,8.87889083611284,4.512089276976929,2.3915997744905906,0.0,9.967957041894415,12.841643245852019,0.0,11.126902983393993,49.052842560298735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894415,0.0,12.841643245852019,0.0,60.179745543692725,0.0,0.0,0.0,9.967957041894415,0.0,0.0,0.0,0.0,48.23401450309245,24.7873742864523,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,2,0,0,14,3,0,0,6,6,3,2,2,0,0,0,0,0,2,0,0,10,2,0,0,0,0,2,0,0,0,0,0,0
8687,P06239,2.63,C1=CN=CC=C1C(=O)NC2=CC=NC=C2,1.7289,56.42720000000002,87.00411968550242,54.88,199.213,199.074561908,4,1,2,1,3,1,4,15,24,0,0,2,2,0,0,2,0,0,0,0,0,0.0,7.921477634980787,4.474953575933162,2.925901605421473,1.880698397223158,1.1417994757475656,4.474953575933162,2.925901605421473,1.880698397223158,1.1417994757475656,-2.23,9.32987751888189,4.323475614911857,2.370547883466204,5.316788604006331,15.875136771245925,0.0,0.0,10.35798867576882,49.052842560298735,0.0,0.0,5.687386274683562,0.0,0.0,4.794537184071822,0.0,9.967957041894415,0.0,0.0,5.316788604006331,54.61629405199572,0.0,11.594566004035068,5.316788604006331,14.762494225966242,0.0,0.0,0.0,0.0,24.26546827384644,36.03821205283286,0.0,0.0,0.0,0.0,5.9071797293515065,0.0,11,0,0,0,0,0,0,1,2,1,0,15,3,1,0,6,6,2,5,4,1,1,0,0,1,1,1,0,10,2,0,0,0,0,2,0,0,0,0,0,0
8688,P06239,2.64,COC1=CC(=CC(=C1OC)OC)/C=C/C2=CC=NC=C2,3.277800000000002,79.26300000000003,118.18388853482692,40.58,271.316,271.120843404,4,0,5,0,4,0,4,20,37,0,0,2,2,0,0,1,0,0,1,0,0,0.1875,11.790760620408554,6.16291616334021,4.072553517911424,2.861394169049936,1.8645981008545343,6.16291616334021,4.072553517911424,2.861394169049936,1.8645981008545343,-2.49,13.93052407316442,6.61125709936793,3.0896741811264863,14.210588861400149,26.31337114477981,0.0,0.0,11.126902983393993,36.659155417072604,0.0,12.152040213667762,0.0,17.248535499851716,0.0,14.210588861400149,0.0,4.9839785209472085,0.0,0.0,21.329392623832604,47.78605840046657,17.248535499851716,12.152040213667762,14.210588861400149,4.9839785209472085,0.0,0.0,0.0,12.152040213667762,35.39237125724044,12.39368714322615,21.329392623832604,0.0,11.49902366656781,5.749511833283905,0.0,0.0,16,0,0,0,0,0,0,0,1,3,0,20,8,1,0,6,6,5,7,4,0,0,0,0,3,5,0,0,7,5,0,0,0,0,2,0,0,0,0,0,0
8689,P06239,2.66,COC1=CC(=CC(=C1OC)OC)/C=C/C2=CC=CC=N2,3.277800000000002,79.26300000000003,118.18388853482692,40.58,271.316,271.120843404,4,0,5,0,4,0,4,20,37,0,0,2,2,0,0,1,0,0,1,0,0,0.1875,11.790760620408554,6.172982270081548,4.046609634991945,2.8213706467338264,1.8537533780470616,6.172982270081548,4.046609634991945,2.8213706467338264,1.8537533780470616,-2.49,13.93052407316442,6.61125709936793,3.0896741811264863,14.210588861400149,26.31337114477981,0.0,0.0,11.257379486545458,36.528678913921134,0.0,12.152040213667762,0.0,17.248535499851716,0.0,14.210588861400149,0.0,4.9839785209472085,0.0,0.0,21.329392623832604,47.786058400466594,17.248535499851716,12.152040213667762,14.210588861400149,4.9839785209472085,0.0,0.0,0.0,12.142387175295491,35.90493987237732,6.196843571613075,27.02332061868107,0.0,11.49902366656781,5.749511833283905,0.0,0.0,16,0,0,0,0,0,0,0,1,3,0,20,8,1,0,6,6,5,7,4,0,0,0,0,3,5,0,0,7,5,0,0,0,0,2,0,0,0,0,0,0
8690,P06239,2.67,C1=CC(=CN=C1)C(=O)NC2=CC=NC=C2,1.7289,56.42720000000002,87.00411968550242,54.88,199.213,199.074561908,4,1,2,1,3,1,4,15,24,0,0,2,2,0,0,2,0,0,0,0,0,0.0,7.921477634980787,4.474953575933162,2.9317132748582764,1.861914786326615,1.1355840160695143,4.474953575933162,2.9317132748582764,1.861914786326615,1.1355840160695143,-2.2299999999999995,9.32987751888189,4.323475614911857,2.370547883466204,5.316788604006331,15.875136771245925,0.0,0.0,10.35798867576882,49.05284256029875,0.0,0.0,5.687386274683562,0.0,0.0,4.794537184071822,0.0,9.967957041894415,0.0,0.0,5.316788604006331,54.616294051995744,0.0,11.594566004035068,5.316788604006331,14.762494225966242,0.0,0.0,0.0,0.0,24.26546827384644,30.47476056113587,5.563451491696997,0.0,0.0,0.0,5.9071797293515065,0.0,11,0,0,0,0,0,0,1,2,1,0,15,3,1,0,6,6,2,5,4,1,1,0,0,1,1,1,0,10,2,0,0,0,0,2,0,0,0,0,0,0
8691,P06239,2.68,COC1=C(C=C(C=C1)/C=N/NC2=CC=CC=C2)O,2.8468000000000013,72.31750000000002,105.54148122576026,53.85,242.278,242.105527688,4,2,4,2,4,0,4,18,32,0,0,2,2,0,0,0,0,0,2,0,0,0.07142857142857142,9.998827904170414,5.505177529773271,3.667313919426368,2.383967837629957,1.4813495814318178,5.505177529773271,3.667313919426368,2.383967837629957,1.4813495814318178,-2.49,11.979880229701285,5.72396921976977,3.0085034436803197,10.162654350910431,18.43092551565356,0.0,0.0,5.563451491696997,53.632344073432606,0.0,0.0,5.687386274683562,11.49902366656781,0.0,9.843390348640755,0.0,0.0,5.101407525739723,0.0,12.535588938387914,54.094388039389884,11.49902366656781,11.901986854218881,9.843390348640755,5.425791397110385,0.0,5.101407525739723,0.0,18.199101205384828,35.89528683400505,0.0,19.011784395496413,0.0,11.49902366656781,0.0,0.0,0.0,14,0,0,0,0,0,0,2,0,2,0,18,6,1,0,6,6,4,6,4,2,2,0,0,2,4,0,0,8,4,0,0,0,0,2,0,0,0,0,0,0
8692,P06239,2.7,C1=C(C=C(C(=C1O)O)O)/C=C(\C#N)/C(=O)N,0.19568000000000035,54.2208,90.47826228001236,127.56999999999998,220.184,220.04840673599998,6,5,2,4,5,1,6,16,24,0,0,1,1,0,0,0,0,0,1,0,0,0.0,8.0065037492222,4.119277278395538,2.941829625315085,1.7889251307775538,1.033840371904548,4.119277278395538,2.941829625315085,1.7889251307775538,1.033840371904548,-2.68,11.395075075075074,4.229502805533052,2.2169134040819207,5.733667477162185,21.226761913873624,4.794537184071822,11.331112867530761,5.563451491696997,17.705838666992488,0.0,6.076020106833881,0.0,17.248535499851716,0.0,20.11411936859394,5.2618915547384875,0.0,5.733667477162185,0.0,0.0,23.26929015868949,23.317756812643992,11.983199836185387,21.0532496616843,4.794537184071822,0.0,5.2618915547384875,0.0,0.0,23.772205735454094,0.0,0.0,11.642325842861542,17.248535499851716,0.0,5.9071797293515065,0.0,10,0,0,0,0,0,0,2,0,4,0,16,7,2,1,3,3,2,10,6,5,4,0,0,6,2,2,0,2,4,0,0,0,0,1,0,0,0,0,0,0
8693,P06239,2.73,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3)O)[N+](=O)[O-])[N+](=O)[O-],2.9820000000000024,82.89360000000002,132.23668597854464,136.72,328.2360000000001,328.03315059599987,9,1,3,1,7,0,9,24,32,0,0,3,3,0,0,1,0,0,2,0,0,0.0,11.832582413610435,6.5728906490444565,4.845974596603736,3.3950720999434534,2.260463400532988,6.5728906490444565,4.845974596603736,3.3950720999434534,2.260463400532988,-3.7500000000000013,15.157461179144047,5.465568224199479,2.43241370622323,5.428790391900541,14.953149492476046,0.0,20.228636537531145,0.0,51.676257600356436,0.0,22.29294326667848,11.374772549367124,5.749511833283905,0.0,19.370300429529394,0.0,0.0,0.0,0.0,0.0,72.91653359273477,17.07321074385534,22.344016905474163,9.523678331894054,25.02317372160297,0.0,0.0,0.0,0.0,24.26546827384644,23.762552697081823,15.232846312100135,5.760247418874442,11.178302225184446,5.583020141642242,5.687386274683562,5.687386274683562,15,0,0,0,0,0,0,2,0,6,1,24,6,3,0,9,8,3,18,9,1,1,2,2,6,0,2,0,8,8,0,0,0,0,3,0,0,0,0,2,1
8694,P06239,2.79,COC1=C2C(=O)C=C(OC2=C(C=C1)N)C3=CC=C(C=C3)N,2.632999999999999,83.2968,120.29476951927795,91.48,282.29900000000004,282.10044230799997,5,4,2,2,5,0,5,21,35,0,0,3,3,0,0,1,0,0,2,0,0,0.0625,11.420897294098225,6.3614962173397185,4.658083843233586,3.285638450265889,2.2144017672199574,6.3614962173397185,4.658083843233586,3.285638450265889,2.2144017672199574,-2.9499999999999997,13.052605705188398,4.863909706783758,2.1840641131318392,21.632988300024962,7.1097975412775325,0.0,0.0,0.0,51.676257600356436,0.0,22.29294326667848,11.374772549367124,5.749511833283905,0.0,9.154013890853397,0.0,0.0,0.0,0.0,18.577132495601905,52.68789705520363,17.07321074385534,22.344016905474163,20.621348845177764,4.794537184071822,0.0,0.0,0.0,0.0,36.398202410769656,17.31720483484217,12.797183815961096,16.895983466623143,11.011810533542784,0.0,0.0,0.0,16,0,0,0,0,0,0,2,0,2,1,21,5,1,0,9,8,2,8,5,4,2,0,0,4,1,0,0,8,8,0,0,0,0,3,0,0,0,0,2,1
