,target_id,pAc,smiles,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
13041,P23458,4.1,CCOC(=O)CN1C=C(N=N1)C2=CC=C(C=C2)C3=NC(=C(N3)C4=CC=C(C=C4)F)C5=CC(=O)NC=C5,4.059700000000002,131.12339999999998,204.16546462307957,118.54999999999998,484.49100000000016,484.165916752,9,2,7,2,7,0,10,36,57,0,0,5,5,0,0,3,0,0,2,0,0,0.1153846153846154,19.233980519049254,11.215380443988217,7.94124455145476,5.474400433224857,3.781908365826239,11.215380443988217,7.94124455145476,5.474400433224857,3.781908365826239,-4.859999999999999,22.908760392206283,9.78590274857993,4.827018721431423,5.559266895052006,42.52199265440749,16.076156543784446,5.817220841045895,6.923737199690624,77.85189501191408,0.0,45.15999444933328,4.39041504767482,0.0,0.0,13.92181518554669,0.0,29.945805401942717,0.0,13.468493605603198,6.606881964512918,89.228382748012,45.15999444933328,5.9693052879518484,14.704819995694466,9.589074368143644,14.056196503767215,0.0,5.098681808301039,29.478853369501305,37.255572541998674,34.517016606862676,24.191581525822922,23.880309739806858,0.0,5.559266895052006,0.0,5.9693052879518484,26,1,0,0,0,0,0,0,6,3,0,36,10,2,0,14,14,7,12,9,2,2,0,0,4,3,1,0,17,11,0,0,0,2,3,0,0,0,0,0,0
13042,P23458,4.4,[H+].CC(C)N(CCC(=O)C1=CC2=CC=CC=C2C=C1)CC3=CC=CC=C3.[Cl-],2.4397,105.99550000000004,163.28400405036456,20.31,367.92000000000013,367.170292132,2,0,7,0,2,0,3,26,52,0,0,3,3,0,0,0,0,0,3,0,0,0.2608695652173913,16.116229148016284,8.932653630003738,6.784928610934196,4.6563057721127405,3.0900130570007716,8.932653630003738,6.784928610934196,4.6563057721127405,3.0900130570007716,-2.1599999999999993,20.155578478429423,9.513507368844623,5.168316947694109,12.407033161179974,23.269751912275954,6.544756405912576,0.0,37.61637425447269,72.79640482153933,0.0,10.772448428929591,0.0,0.0,0.0,18.628208409951423,0.0,4.899909730850478,0.0,32.854893257367785,6.544756405912576,83.92330780493333,0.0,16.55569337529453,12.407033161179974,9.6944469149223,0.0,0.0,0.0,66.73003775307771,36.24974138846945,31.115626755596114,0.0,0.0,5.783244946364938,0.0,0.0,1.4266380646996217,23,0,1,0,0,0,0,1,0,1,0,26,9,1,0,9,8,7,3,2,0,0,1,1,3,3,3,0,12,4,0,0,0,0,3,0,0,0,0,2,1
13043,P23458,4.49,C1=CC2=C(C=C1C(=O)N)N=C(N2CCN)C3=CC=NC=C3,1.1558999999999997,80.53630000000003,120.96471956405789,99.82,281.319,281.1276601,6,4,4,2,5,1,6,21,36,0,0,3,3,0,0,2,0,0,1,0,0,0.13333333333333333,11.360255062043466,6.610151114370563,4.679356318051664,3.3239754193539843,2.3598665438878625,6.610151114370563,4.679356318051664,3.3239754193539843,2.3598665438878625,-2.73,13.262204645280814,5.336075903003142,2.3642939664207567,11.46733495432437,26.98699282494985,6.544756405912576,0.0,10.35798867576882,42.72552248553421,0.0,22.421257424929447,0.0,0.0,0.0,4.794537184071822,0.0,14.535056689685769,11.46733495432437,6.544756405912576,6.544756405912576,48.28897397723121,11.387855989696925,16.940581164584028,16.034434602115724,9.778515705019029,4.9839785209472085,0.0,0.0,0.0,30.33183534230805,36.610102938445294,11.033401435232523,5.824404497999928,0.0,5.9071797293515065,0.0,0.0,15,0,0,0,0,0,0,2,3,1,0,21,6,1,0,8,8,4,7,6,4,2,0,0,3,2,1,0,9,6,0,0,0,1,2,0,0,0,0,2,1
13044,P23458,4.6,CC1=C(C(=O)N(N1CC(C)(C)O)C2=CC=CC=C2)C(=O)NC3=NC=C(C=C3)OC4=C5C=CC(=CC5=NC=C4)OC,4.714720000000003,151.6229999999997,229.98967657055508,120.5,539.5920000000001,539.216869028,10,2,8,2,9,1,10,40,69,0,0,5,5,0,0,3,0,0,2,0,0,0.2,22.58172142000693,12.626773418509293,9.910494078547856,6.2768051599251615,4.430456903862232,12.626773418509293,9.910494078547856,6.2768051599251615,4.430456903862232,-4.959999999999999,26.639347453641488,10.660484206197074,5.429141868412856,20.34978140665844,43.05611838863821,6.544756405912576,6.923737199690624,29.899391069998533,83.9182620803757,0.0,16.590311206764618,5.817862777835027,17.248535499851716,0.0,19.37479048651263,0.0,19.331562912184783,0.0,32.91701881596813,12.426586145283865,100.73490846197319,22.93592177453528,22.627967439267593,19.897041906447136,19.254855824236035,9.665781456092391,0.0,0.0,18.199101205384828,63.235781078303134,17.649434854539486,42.350463316935155,28.629849769383732,0.0,0.0,11.466446624403513,0.0,30,0,0,0,0,0,0,1,4,5,0,40,14,2,0,14,14,8,15,10,2,2,0,0,7,4,1,1,15,12,0,0,0,1,4,0,0,0,0,2,1
13045,P23458,4.62,CCOP(=O)(CCN1C=C(N=N1)C2=CC=C(C=C2)C3=NC(=C(N3)C4=CC=C(C=C4)F)C5=CC(=O)NC=C5)OCC,5.762700000000005,150.21589999999975,229.3103123976837,127.78,562.5420000000001,562.1893682259999,10,2,11,2,8,0,12,40,68,0,0,5,5,0,0,3,0,0,2,0,0,0.21428571428571427,22.898083158386093,14.541211649278456,11.057199025169153,8.183436052214494,5.829083758268942,12.813311002234444,8.871777385433436,6.132530322189112,4.2597021290296535,-4.179999999999999,27.389279235212406,11.912963156570427,6.173083493766573,5.559266895052006,49.32147935843648,20.15729901426754,5.817220841045895,13.847474399381248,77.85189501191408,0.0,45.15999444933328,4.39041504767482,0.0,7.595762326787884,18.002957656029785,0.0,29.945805401942717,0.0,20.392230805293824,19.375673956493763,89.228382748012,45.15999444933328,7.595762326787884,19.01545136531805,14.041388404148336,9.374393568622027,0.0,5.098681808301039,29.478853369501305,44.1793097416893,34.517016606862676,43.505129923716325,17.335553333894286,0.0,5.559266895052006,0.0,7.595762326787884,28,1,0,0,0,0,1,0,6,4,0,40,14,2,0,14,14,11,14,10,2,2,0,0,5,6,0,1,17,11,0,0,0,2,3,0,0,0,0,0,0
13046,P23458,4.7,C=CC(=O)C1=CC2=CC=CC=C2C=C1,3.2085000000000017,58.47550000000002,82.67981306228151,17.07,182.222,182.07316494,1,0,2,0,1,0,1,14,24,0,0,2,2,0,0,0,0,0,2,0,0,0.0,7.734157225167419,4.4664317111928185,3.1303047325513247,2.2193788170785336,1.4604387539425459,4.4664317111928185,3.1303047325513247,2.2193788170785336,1.4604387539425459,-1.89,8.696948085233146,3.462417781878398,1.4434225598455577,0.0,5.783244946364938,0.0,0.0,10.35798867576882,55.11952526966365,0.0,10.772448428929591,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,60.68297676136064,0.0,16.55569337529453,0.0,4.794537184071822,0.0,0.0,0.0,42.97713809436815,22.91483560422508,5.563451491696997,0.0,0.0,5.783244946364938,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,1,0,14,2,2,0,6,5,2,2,1,0,0,0,0,2,1,1,0,7,3,0,0,0,0,2,0,0,0,0,2,1
13047,P23458,4.74,C1=CC=C(C=C1)CC2=NC3=C(N2CCN)C=CC(=C3)C(=O)N,1.6846999999999996,86.55330000000004,128.11001369750798,86.93,294.358,294.14806119599996,5,4,5,2,4,1,5,22,40,0,0,3,3,0,0,1,0,0,2,0,0,0.17647058823529413,12.197498516919685,7.217526782729454,5.198463811173878,3.66957561336757,2.6249370428908243,7.217526782729454,5.198463811173878,3.66957561336757,2.6249370428908243,-2.66,14.284541405318803,5.990545411723603,2.7090202596191584,11.46733495432437,22.003014304002644,12.965578028838587,0.0,21.745844665465736,48.53093654769288,0.0,11.033401435232523,0.0,0.0,0.0,4.794537184071822,0.0,9.551078168738565,11.46733495432437,12.965578028838587,6.544756405912576,65.4822440290868,0.0,16.940581164584028,16.034434602115724,4.794537184071822,4.9839785209472085,0.0,0.0,30.33183534230805,23.762552697081823,25.07378592644816,11.033401435232523,5.824404497999928,0.0,5.9071797293515065,0.0,0.0,17,0,0,0,0,0,0,2,2,1,0,22,7,1,0,8,8,5,6,5,4,2,0,0,3,3,1,0,9,6,0,0,0,1,2,0,0,0,0,2,1
13048,P23458,4.77,C1CNCCC1C2=NC(=C(N2)C3=CC=C(C=C3)F)C4=CC(=O)NC=C4,3.0381000000000014,94.8831,143.8898470195642,73.57,338.38600000000014,338.15428944800004,5,3,3,3,3,0,6,25,44,0,0,4,3,1,1,2,1,1,1,0,0,0.2631578947368421,13.680655637236248,8.461999550704094,6.318418366050812,4.6293932102796065,3.30650127515913,8.461999550704094,6.318418366050812,4.6293932102796065,3.30650127515913,-2.73,15.777737017966151,6.643238985341762,3.253612250940038,10.87605549905834,28.04144837466677,0.0,5.817220841045895,24.583953790013343,47.389583166454564,0.0,22.514758973090917,4.39041504767482,0.0,0.0,4.39041504767482,0.0,20.26872416684796,0.0,18.75954929201341,13.089512811825152,64.59047540055239,22.514758973090917,0.0,15.284745645900747,4.794537184071822,9.374393568622027,0.0,0.0,0.0,56.26299139998522,29.30801966963007,11.387855989696922,11.641625339045822,0.0,5.559266895052006,0.0,0.0,19,1,0,0,0,0,0,0,4,1,0,25,4,1,0,15,8,3,6,5,3,3,0,0,2,0,0,0,15,8,0,0,0,1,3,0,0,0,0,0,0
13049,P23458,4.85,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=C(C=C3)F)C4=CC(=O)NC=C4)C(=O)[O-].[Na+],-0.3944000000000005,99.80490000000002,186.31229721291473,101.67,397.3410000000002,397.083863776,6,2,4,2,4,0,8,29,42,0,0,4,4,0,0,2,0,0,2,0,0,0.0,17.40077590098666,8.379336549504789,6.1223188062614025,4.2792655743441115,2.9003729354124035,8.379336549504789,6.1223188062614025,4.2792655743441115,2.9003729354124035,-3.0,20.72704081632653,8.566329565734682,4.371900826446281,40.22308032250065,20.921240850793478,0.0,5.817220841045895,10.35798867576882,71.65505144030102,0.0,33.90261496278784,4.39041504767482,0.0,0.0,43.84876565919528,0.0,14.951935562841625,0.0,0.0,0.0,88.59499066809592,33.90261496278784,5.9693052879518484,19.86902162080695,4.794537184071822,9.374393568622027,0.0,0.0,24.26546827384644,35.89528683400505,28.953565115165677,17.357161277648768,11.641625339045822,0.0,5.559266895052006,0.0,29.557286032607927,21,1,0,0,0,0,0,0,3,3,0,29,6,2,0,12,11,4,10,6,2,2,1,1,4,0,1,0,14,9,0,0,0,1,3,0,0,0,0,0,0
13050,P23458,4.94,C[C@H](C(=O)N1CC(C1)C#N)NC(=O)C2=CNC3=NC=C(N=C23)OC4=CC5=C(CC[C@H]5NC(=O)C)C=C4,1.9738799999999996,127.89460000000004,206.40145266882732,153.1,487.5200000000003,487.19680228,11,3,6,3,7,3,11,36,61,2,0,5,3,1,2,2,1,1,1,0,1,0.36,19.869076822118483,11.732392616335972,9.126663730572751,6.4921957363512455,4.607584553174056,11.732392616335972,9.126663730572751,6.4921957363512455,4.607584553174056,-4.46,23.289754332939907,9.296795564367752,4.449089860165384,15.370440161812711,56.704738122719746,16.00989599106965,17.249018913692154,47.79502851061802,30.592788348610977,0.0,11.163877938383989,0.0,11.629500169719277,0.0,19.120474506015515,5.2618915547384875,30.48542250170476,5.917906046161393,38.77279930352918,13.089512811825152,47.28314282370197,17.698721482511548,28.885417126438504,25.254328413610395,14.383611552215465,9.967957041894415,5.2618915547384875,0.0,6.06636706846161,43.025017565859855,26.210093583128852,29.7892632514117,17.308053380048126,5.647177220767728,17.694347795138377,5.9071797293515065,0.0,25,0,0,0,0,0,0,3,4,4,0,36,12,3,1,16,8,6,15,11,3,3,0,0,6,4,4,0,12,10,0,0,1,2,2,0,0,0,0,4,2
