,target_id,pAc,smiles,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
11345,P15056,4.04,COC(CNS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3C(=O)N)OC,0.7122000000000004,95.11210000000004,149.08739248900463,136.4,378.41000000000014,378.099790676,9,4,7,3,6,1,10,26,44,0,0,3,3,0,0,2,0,0,1,0,0,0.25,14.961758584724793,9.109094961132099,7.298574739363019,5.422592227051454,3.722947038568248,7.625931713537708,5.531621508590621,4.0013493991508895,2.680585896831701,-2.53,18.26675250173071,6.998787196840089,3.2677257571634946,10.455762341614275,51.347311973377714,19.49701706100768,0.0,10.488465178920283,35.35779532097729,0.0,21.805849864162113,0.0,0.0,0.0,22.686060076000857,0.0,14.690051906346504,5.733667477162185,11.185510204852989,20.764351488467646,36.156239840307975,0.0,37.7363207469212,20.191371905709488,4.794537184071822,18.123870369728234,0.0,0.0,0.0,24.26546827384644,36.705587800714,16.95694059904661,0.0,11.983954724183675,10.023291153407584,5.9071797293515065,0.0,16,0,0,0,0,1,0,2,2,5,0,26,10,3,0,8,7,7,14,9,4,3,0,0,6,4,2,1,7,6,0,0,0,1,2,0,0,0,0,4,2
11346,P15056,4.13,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NC3=CC=CC=C3OC,3.8542000000000014,98.04840000000002,145.45450553347462,76.14,334.37900000000013,334.142975816,6,2,5,2,5,1,6,25,43,0,0,3,3,0,0,1,0,0,2,0,0,0.10526315789473684,13.984426463823905,7.7561756993471755,5.376828682676521,3.482963106718677,2.41071062866056,7.7561756993471755,5.376828682676521,3.482963106718677,2.41071062866056,-3.41,16.447862009987272,7.439718404369571,4.11374422315276,15.370440161812713,22.98493431252345,4.794537184071822,0.0,6.923737199690624,60.924623690919034,0.0,11.257379486545458,17.19263532720215,5.749511833283905,0.0,9.531400137871868,0.0,9.967957041894415,0.0,6.923737199690624,17.743374749290194,60.924623690919034,17.00689131982936,23.09981505655366,15.370440161812713,9.778515705019029,4.9839785209472085,0.0,0.0,24.26546827384644,24.26546827384644,18.17457496607118,30.884798954035713,11.567374611118932,0.0,5.9071797293515065,0.0,0.0,19,0,0,0,0,0,0,2,2,2,0,25,8,1,0,9,9,5,8,6,2,2,0,0,3,3,1,0,12,6,0,0,0,0,3,0,0,0,0,0,0
11347,P15056,4.23,CC(=O)NS(=O)(=O)C1=CC2=C(C=C1)NC3=C2C=CN=C3,1.5409000000000002,74.60220000000002,114.42558498978829,91.92,289.3160000000001,289.05211221200005,6,2,2,2,4,1,7,20,31,0,0,3,3,0,0,2,0,0,1,0,0,0.07692307692307693,11.360804953420894,7.3439842703533875,6.097736194179051,4.3907336483912385,3.161003513194195,5.860821022758995,4.415333952769534,2.960011097002363,2.144519980542525,-2.41,12.61507217249167,4.309031435917423,2.0142742290801703,4.722094864452088,24.292933755574857,14.817828337479405,0.0,6.923737199690624,41.55463889259036,0.0,21.805849864162113,0.0,0.0,0.0,13.212334168400757,0.0,14.690051906346504,0.0,11.819220675208399,0.0,36.659155417072604,0.0,37.7363207469212,4.9839785209472085,9.778515705019029,13.139891848781025,0.0,0.0,0.0,24.26546827384644,29.40972991784956,16.60902776474711,0.0,0.0,5.9071797293515065,10.023291153407584,0.0,13,0,0,0,0,1,0,1,2,3,0,20,4,3,0,8,7,2,9,6,2,2,0,0,4,1,1,1,8,5,0,0,0,1,2,0,0,0,0,4,2
11348,P15056,4.24,CC1=CC(=NN1C2=NC3=C(N2CC4=CC=CC=C4)C(=O)N(C(=O)N3C)C)C,1.2845399999999996,102.35500000000006,154.48026311603152,79.64000000000001,364.40900000000016,364.16477388,8,0,3,0,8,0,8,27,47,0,0,4,4,0,0,3,0,0,1,0,0,0.2631578947368421,15.67098655025178,8.620165285036245,6.7004250615312575,4.710375338030336,3.343836247616513,8.620165285036245,6.7004250615312575,4.710375338030336,3.343836247616513,-3.42,17.01694999719744,6.082160106296708,2.6058903669284295,11.249010293255479,28.465762207767497,20.640100371266954,13.847474399381248,16.95130748139392,45.9872767789133,0.0,17.112217219370486,0.0,0.0,0.0,0.0,0.0,28.465762207767497,14.095343965354381,20.392230805293824,0.0,74.1875945535627,5.9483392809864934,11.163877938383989,0.0,18.495836127445887,9.476340119217006,10.082660329248244,0.0,30.33183534230805,25.477292959539852,19.78927196020284,12.238684400761034,0.0,11.163877938383989,5.9483392809864934,5.559266895052006,5.689743398203473,19,0,0,0,0,0,0,0,6,2,0,27,7,2,0,11,10,3,10,8,0,0,0,0,6,1,0,0,8,12,0,0,0,2,2,0,0,0,0,2,1
11349,P15056,4.24,CN1C2=C(C(=O)NC1=O)N(C(=N2)N/N=C\C3=CC=C(C=C3)[N+](=O)[O-])CC4=CC=CC=C4,1.8258,115.4518,174.001470355885,140.21,419.4010000000002,419.134202024,11,2,6,2,9,0,11,31,48,0,0,4,4,0,0,2,0,0,2,0,0,0.1,16.349670612438054,9.208170628154726,6.716305400481719,4.672664308281412,3.0865036121212204,9.208170628154726,6.716305400481719,4.672664308281412,3.0865036121212204,-4.539999999999999,19.76246680576238,8.06476767016192,3.9633698849687553,16.674801690365864,30.24006796583011,13.592428388589767,10.114318268765572,11.126902983393993,69.28778551003785,0.0,11.163877938383989,11.635725555670055,0.0,0.0,4.923311048817671,0.0,19.10215633747713,12.149079508416913,6.544756405912576,5.425791397110385,96.6766095297132,0.0,29.014204073589358,0.0,29.02703326936731,10.220328581182207,10.085386046686931,0.0,30.33183534230805,23.259637120317212,19.18040611960041,17.682668034265564,0.0,11.163877938383989,5.9483392809864934,11.24665316973557,5.689743398203473,20,0,0,0,0,0,0,3,4,4,0,31,8,4,0,11,11,6,16,11,2,2,1,1,5,4,1,0,11,10,0,0,0,1,3,0,0,0,0,2,1
11350,P15056,4.285,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCC3=CC(=C(C=C3)F)Cl,4.5066000000000015,100.50840000000002,154.8097619337756,66.91,370.81500000000005,370.09966703199996,5,2,5,2,4,1,7,26,42,0,0,3,3,0,0,1,0,0,2,0,0,0.10526315789473684,14.717792577393867,8.267522593379342,6.060759756376133,3.8605394517480285,2.5951271892925463,7.8895581203701175,5.653559629635527,3.570892990083464,2.3919873566417573,-2.9899999999999998,17.820887160529633,7.926617939412751,4.547590437244418,10.633577208012662,15.875136771245925,11.339293589984395,5.817220841045895,12.48718869138762,54.858256622457425,5.022633313741326,11.257379486545458,15.89566410019341,0.0,11.600939890232516,9.184952231746642,0.0,9.967957041894415,0.0,13.468493605603198,10.633577208012662,71.26156226894166,11.257379486545458,29.013368672102608,10.633577208012662,9.778515705019029,9.374393568622027,0.0,0.0,29.800041095617342,29.828919765543443,24.719331371983763,23.110248451815945,11.635083618880925,0.0,5.9071797293515065,0.0,0.0,19,1,1,0,0,0,0,2,2,1,0,26,9,1,0,9,9,5,6,5,2,2,0,0,4,3,1,0,11,7,0,0,0,0,3,0,0,0,0,0,0
11351,P15056,4.3,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NN(C)C3=CC=CC=C3,3.565300000000001,100.23940000000002,146.07092999440604,70.14999999999999,333.3950000000001,333.158960228,6,2,5,2,5,1,6,25,44,0,0,3,3,0,0,1,0,0,2,0,0,0.10526315789473684,14.100742038049624,7.871563787984631,5.557914672132288,3.5389960917481647,2.406441519192938,7.871563787984631,5.557914672132288,3.5389960917481647,2.406441519192938,-3.41,16.447862009987272,7.439718404369571,4.318938535997827,15.75149252507125,22.92280875392311,4.794537184071822,0.0,6.923737199690624,66.99099075938065,0.0,11.257379486545458,17.19263532720215,0.0,0.0,4.794537184071822,0.0,9.967957041894415,0.0,6.923737199690624,22.79916450774844,66.99099075938065,11.257379486545458,23.09981505655366,5.316788604006331,20.213219626083948,4.9839785209472085,0.0,0.0,30.33183534230805,24.26546827384644,25.22224694874837,23.775001412758176,0.0,5.817862777835027,5.9071797293515065,0.0,0.0,19,0,0,0,0,0,0,3,2,1,0,25,8,1,0,9,9,5,7,6,2,2,0,0,3,2,2,0,13,5,0,0,0,0,3,0,0,0,0,0,0
11352,P15056,4.33,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCOC3=CC=C(C=C3)OC,3.601500000000001,108.7504,163.2979349917747,85.37,378.4320000000001,378.169190564,7,2,8,2,6,1,7,28,50,0,0,3,3,0,0,1,0,0,2,0,0,0.19047619047619047,15.806888316660864,8.846545305623486,6.002312193794505,3.8495937957128055,2.5697062734140013,8.846545305623486,6.002312193794505,3.8495937957128055,2.5697062734140013,-3.61,19.15990994527679,9.362186401380141,5.441220961728155,20.107303115612762,36.13657268294895,4.794537184071822,0.0,6.923737199690624,60.924623690919034,0.0,11.257379486545458,11.50524905251859,11.49902366656781,0.0,14.268263091671919,0.0,9.967957041894415,0.0,6.923737199690624,30.895013119715692,60.924623690919034,22.756403153113265,17.412428781870098,20.107303115612762,9.778515705019029,4.9839785209472085,0.0,0.0,12.13273413692322,36.398202410769656,18.17457496607118,31.742169085264727,23.923768408915752,0.0,5.9071797293515065,0.0,0.0,21,0,0,0,0,0,0,2,2,3,0,28,11,1,0,9,9,8,10,7,2,2,0,0,3,6,1,0,12,6,0,0,0,0,3,0,0,0,0,0,0
11353,P15056,4.335000000000001,CC(=O)NC1=CC=CC(=C1)C2=CN=CC(=N2)NCCOC3=CC=CC=C3,3.592900000000002,102.1984,151.81944764787116,76.14,348.40600000000006,348.15862588,6,2,7,2,5,1,6,26,46,0,0,3,3,0,0,1,0,0,2,0,0,0.15,14.475990295386625,8.323489267404733,5.639836057356679,3.5333643273848905,2.414474773416681,8.323489267404733,5.639836057356679,3.5333643273848905,2.414474773416681,-3.41,17.414237296460655,8.617804043675028,5.041435498782958,15.370440161812713,29.026775141671425,4.794537184071822,0.0,6.923737199690624,66.99099075938065,0.0,11.257379486545458,11.50524905251859,5.749511833283905,0.0,9.531400137871868,0.0,9.967957041894415,0.0,6.923737199690624,23.78521557843816,66.99099075938065,17.00689131982936,17.412428781870098,15.370440161812713,9.778515705019029,4.9839785209472085,0.0,0.0,30.33183534230805,24.26546827384644,18.17457496607118,24.632371543987194,18.17425657563185,0.0,5.9071797293515065,0.0,0.0,20,0,0,0,0,0,0,2,2,2,0,26,9,1,0,9,9,7,8,6,2,2,0,0,2,5,1,0,13,5,0,0,0,0,3,0,0,0,0,0,0
11354,P15056,4.35,C1=CC2=C(C=C1S(=O)(=O)NCC(CO)O)C3=C(N2)C(=NC=C3)C(=O)N,-0.5535000000000001,90.39870000000002,142.08382741998625,158.40000000000003,364.383,364.08414061199994,9,6,6,5,6,1,10,25,41,1,1,3,3,0,0,2,0,0,1,0,0,0.2,13.746795975983535,8.803868805641205,7.234009532473697,5.176515900502867,3.6090609984131294,7.3207055580468126,5.467056301701299,3.7552730726023023,2.510395890716788,-2.53,17.298132627476928,6.407673045651182,3.1951947799266245,10.455762341614275,53.76159330343008,10.023291153407584,0.0,10.488465178920283,35.357795320977296,0.0,21.805849864162113,0.0,0.0,0.0,23.42538895808217,0.0,14.690051906346504,5.733667477162185,10.999449863266078,13.151638370425491,36.156239840307975,0.0,37.7363207469212,20.930700787790805,4.794537184071822,18.123870369728234,0.0,0.0,0.0,24.26546827384644,29.0307491240715,23.12303254539525,0.0,5.693927994848461,10.023291153407584,5.9071797293515065,0.0,15,0,0,0,0,1,0,2,2,5,0,25,9,3,0,8,7,6,14,9,6,5,0,0,6,3,2,1,7,6,0,0,0,1,2,0,0,0,0,4,2
